player_id,name,club,position,price,status,xmins,xpts_gw1,xpts_gw2,xpts_gw3,xpts_gw4,xpts_gw5,xpts_gw6,xpts_gw7,xpts_gw8
1747,Igor Drapiński,Piast Gliwice,DEF,1.8,ok,48.0,1.72,2.03,1.17,2.12,1.65,1.75,1.88,1.81
1754,Michał Król,Wisła Płock,MID,1.8,ok,34.7,1.27,1.39,1.5,1.26,1.44,1.48,1.42,1.47
1756,Konrad Matuszewski,Korona Kielce,DEF,1.9,ok,43.1,1.48,1.72,1.7,1.63,2.0,1.98,2.08,2.04
1757,Bartosz Mrozek,Lech Poznań,GK,2.2,ok,48.0,1.91,1.91,1.87,1.93,1.65,1.71,1.65,1.63
1770,Tomasz Pieńko,Raków Częstochowa,MID,2.0,ok,84.0,3.73,3.6,3.54,3.28,3.27,3.26,2.83,3.69
1794,Kamil Grosicki,Pogoń Szczecin,MID,2.5,ok,32.0,1.69,1.72,2.07,1.64,2.06,1.8,2.06,2.09
1795,Sławomir Abramowicz,Jagiellonia Białystok,GK,2.0,ok,87.5,2.94,2.65,2.83,2.86,1.85,2.22,3.27,2.88
1812,Jason Lokilo,Piast Gliwice,MID,1.7,ok,29.7,1.36,1.55,1.14,1.58,1.31,1.46,1.48,1.43
1831,Antoni Mikułko,Wieczysta Kraków,GK,1.7,ok,87.5,2.17,1.56,2.0,2.02,2.12,2.23,2.35,1.97
1835,Wahan Biczachczjan,Legia Warszawa,MID,1.8,ok,22.8,1.05,1.12,1.03,1.16,1.06,1.21,1.11,1.03
1853,Bogdan Racovițan,Raków Częstochowa,DEF,2.0,ok,87.5,3.84,3.65,3.56,3.29,3.2,3.03,2.33,3.56
1858,Jakub Antczak,Lech Poznań,MID,1.4,ok,22.8,1.14,1.17,1.17,1.17,1.07,1.02,1.05,1.02
1880,Ilja Szkurin,GKS Katowice,FWD,2.1,ok,20.6,1.19,1.25,1.28,1.2,1.26,1.0,1.11,1.11
1889,Kacper Łukasiak,GKS Katowice,MID,1.7,ok,87.5,3.31,3.46,3.56,3.28,3.52,2.92,3.15,3.15
1893,Dani Pacheco,Wisła Płock,MID,1.8,ok,87.5,2.85,3.1,3.32,2.82,3.2,3.28,3.15,3.27
1900,Władysław Koczerhin,Raków Częstochowa,MID,2.0,ok,22.8,1.19,1.15,1.13,1.04,1.04,1.04,0.89,1.18
1906,Maciej Kikolski,GKS Katowice,GK,1.7,ok,48.0,1.41,1.51,1.63,1.28,1.61,1.16,1.29,1.33
1909,Rafał Adamski,Legia Warszawa,FWD,2.0,ok,40.5,1.98,2.09,1.92,2.2,1.99,2.31,2.13,1.88
1922,Dominik Piła,Cracovia,DEF,1.7,ok,8.5,0.33,0.45,0.47,0.4,0.5,0.44,0.42,0.46
1925,Gabriel Kobylak,GKS Katowice,GK,1.7,ok,87.5,2.45,2.64,2.86,2.22,2.82,2.0,2.23,2.31
1926,Roberto Alves,Radomiak Radom,MID,1.8,ok,87.5,5.09,4.47,4.21,3.88,4.68,4.49,3.93,4.7
1928,Stratos Svarnas,Raków Częstochowa,DEF,2.1,ok,28.0,1.57,1.49,1.45,1.33,1.31,1.26,0.99,1.49
1931,Steve Kapuadi,Widzew Łódź,DEF,1.8,ok,48.0,2.17,2.14,1.68,2.11,2.23,1.58,2.22,1.76
1935,Juljan Shehu,Widzew Łódź,MID,2.0,ok,87.5,3.58,3.42,3.02,3.4,3.55,2.93,3.57,3.0
1948,Henrich Ravas,Cracovia,GK,1.7,ok,48.0,0.98,1.54,1.65,1.32,1.76,1.51,1.44,1.62
1987,Jordi Sánchez,Wisła Kraków,FWD,1.8,ok,69.0,4.36,3.99,4.55,3.55,3.99,4.62,3.83,3.86
1990,Fabian Hiszpański,Wisła Płock,MID,1.7,ok,19.0,0.75,0.83,0.89,0.75,0.86,0.88,0.84,0.88
1994,Miłosz Strzeboński,Korona Kielce,MID,1.4,ok,9.3,0.43,0.46,0.45,0.43,0.53,0.5,0.53,0.51
1998,Olaf Kobacki,Wisła Płock,MID,1.8,ok,49.0,1.79,1.95,2.12,1.77,2.03,2.08,2.0,2.07
2000,Lisandro Semedo,Wieczysta Kraków,MID,1.8,ok,70.0,2.73,2.37,2.66,2.63,2.56,2.77,2.79,2.62
2002,Léo Borges,Pogoń Szczecin,DEF,1.7,ok,87.5,3.09,3.19,3.65,2.63,3.82,3.26,3.94,4.0
2007,Michał Matys,Zagłębie Lubin,GK,0.7,ok,34.5,1.09,0.89,0.81,1.24,1.05,1.07,1.14,1.09
2010,Saïd Hamulic,Wisła Płock,FWD,1.8,ok,65.0,2.36,2.52,2.79,2.34,2.68,2.71,2.63,2.68
2016,Jakub Lewicki,Piast Gliwice,DEF,1.7,ok,48.0,1.71,2.01,1.16,2.1,1.64,1.74,1.86,1.8
2032,Oskar Leśniak,Piast Gliwice,MID,1.6,ok,22.2,0.98,1.11,0.82,1.13,0.95,1.04,1.06,1.03
2046,Dawid Drachal,Jagiellonia Białystok,MID,1.7,ok,75.0,3.05,3.06,2.89,3.09,2.48,2.65,3.37,3.1
2052,Rafał Mamla,Korona Kielce,GK,1.6,ok,34.5,0.86,1.04,1.04,1.0,1.13,1.17,1.21,1.19
