player_id,name,club,position,price,status,xmins,xpts_gw1,xpts_gw2,xpts_gw3,xpts_gw4,xpts_gw5,xpts_gw6,xpts_gw7,xpts_gw8
1632,Antoni Kozubal,Lech Poznań,MID,2.0,ok,85.0,4.6,4.0,4.5,3.9,4.4,3.5,4.4,3.5
1169,Mateusz Skrzypczak,Lech Poznań,DEF,1.8,ok,45.0,5.0,3.9,4.8,3.6,4.8,2.9,4.8,3.0
2907, Paulinho,Wieczysta Kraków,FWD,1.8,ok,45.0,4.2,4.0,3.9,3.8,3.7,3.9,5.3,4.0
184,Rafał Wolski,Radomiak Radom,MID,2.2,ok,45.0,4.7,3.3,4.8,2.9,5.0,4.5,3.1,4.4
2926,Samuel Ntamack,Piast Gliwice,FWD,2.0,ok,20.0,3.7,4.9,2.9,4.7,4.4,3.7,4.5,3.8
2847,Mads Agger,Pogoń Szczecin,MID,1.8,ok,85.0,4.2,3.2,4.7,3.1,4.7,3.5,4.5,4.5
2431,Rúben Vinagre,Legia Warszawa,DEF,1.8,ok,85.0,2.8,5.6,2.6,5.6,2.6,5.5,2.9,4.8
147,Kamil Jóźwiak,Jagiellonia Białystok,MID,1.9,ok,20.0,4.7,3.7,4.6,4.8,2.9,3.1,5.0,3.5
2719,Leandro Sanca,Piast Gliwice,MID,1.8,ok,45.0,3.6,4.9,2.9,4.6,4.3,3.6,4.4,3.7
128,Łukasz Sekulski,Wisła Płock,FWD,2.1,ok,45.0,3.2,4.6,3.6,3.9,3.6,4.7,3.7,4.7
2032,Oskar Leśniak,Piast Gliwice,MID,1.6,ok,85.0,3.6,4.8,2.9,4.6,4.3,3.6,4.4,3.7
2826,Levente Szabó,Zagłębie Lubin,FWD,1.8,ok,85.0,4.5,2.9,2.9,4.9,3.6,4.7,3.7,4.6
2557,Abdoul Tapsoba,Radomiak Radom,FWD,1.7,ok,85.0,4.5,3.2,4.6,2.8,4.8,4.4,3.1,4.3
2892,Luka Marjanac,Śląsk Wrocław,MID,1.9,ok,85.0,3.4,4.5,4.6,3.7,4.5,3.1,3.3,4.6
633,Mateusz Wdowiak,GKS Katowice,MID,1.8,ok,45.0,3.4,4.9,4.7,3.6,4.7,3.4,3.4,3.6
2345,Wojciech Urbański,Legia Warszawa,MID,1.7,ok,45.0,3.3,4.7,3.2,4.7,3.2,4.6,3.3,4.3
1341,Fran Tudor,Raków Częstochowa,DEF,1.9,ok,85.0,4.8,3.0,5.2,2.3,4.9,4.3,1.6,5.1
2588,Mauro Perković,Cracovia,DEF,1.8,ok,45.0,1.7,5.0,3.4,4.6,5.1,3.1,5.2,3.1
2664,Dimítris Rállis,Jagiellonia Białystok,FWD,1.9,ok,85.0,4.5,3.6,4.4,4.6,2.9,3.1,4.7,3.4
2871,Julian Lelieveld,Wisła Kraków,DEF,1.7,ok,85.0,5.2,2.4,5.6,2.4,2.7,5.5,2.4,5.0
2910,Bruno Durdov,Górnik Zabrze,MID,1.9,ok,85.0,4.9,3.2,3.5,5.0,2.9,4.6,3.1,3.9
2920,Makan Aïko,Motor Lublin,MID,1.8,ok,20.0,3.2,4.5,3.5,4.6,3.3,4.6,4.5,2.9
1332,Erik Jirka,GKS Katowice,DEF,1.9,ok,45.0,2.9,5.7,5.2,3.2,5.2,2.8,2.8,3.2
2943,Peter González,Górnik Zabrze,MID,1.9,ok,20.0,4.9,3.2,3.5,5.0,2.9,4.5,3.1,3.9
2046,Dawid Drachal,Jagiellonia Białystok,MID,1.7,ok,45.0,4.5,3.5,4.4,4.6,2.8,3.0,4.8,3.4
239,Marcin Flis,Wisła Płock,DEF,1.7,ok,20.0,2.4,5.0,3.1,3.8,3.1,5.1,3.3,5.2
2566,José Pozo,Pogoń Szczecin,MID,1.8,ok,45.0,4.0,3.1,4.5,3.0,4.5,3.3,4.3,4.2
2477,Marcel Reguła,Zagłębie Lubin,MID,2.1,ok,85.0,4.4,2.8,2.8,4.8,3.4,4.6,3.6,4.4
