team,gw,opponent,is_home,date,kickoff_local,status,notes
GKS Katowice,8,Zagłębie Lubin,False,2026-09-12,,scheduled,nan
Górnik Zabrze,8,Lech Poznań,True,2026-09-12,,scheduled,nan
Jagiellonia Białystok,8,Wisła Kraków,False,2026-09-12,,scheduled,nan
Korona Kielce,8,Śląsk Wrocław,False,2026-09-12,,scheduled,nan
Lech Poznań,8,Górnik Zabrze,False,2026-09-12,,scheduled,nan
Legia Warszawa,8,Widzew Łódź,True,2026-09-12,,scheduled,nan
Motor Lublin,8,Raków Częstochowa,False,2026-09-12,,scheduled,nan
Piast Gliwice,8,Radomiak Radom,False,2026-09-12,,scheduled,nan
Pogoń Szczecin,8,Wieczysta Kraków,True,2026-09-12,,scheduled,nan
Radomiak Radom,8,Piast Gliwice,True,2026-09-12,,scheduled,nan
Raków Częstochowa,8,Motor Lublin,True,2026-09-12,,scheduled,nan
Widzew Łódź,8,Legia Warszawa,False,2026-09-12,,scheduled,nan
Wieczysta Kraków,8,Pogoń Szczecin,False,2026-09-12,,scheduled,nan
Wisła Kraków,8,Jagiellonia Białystok,True,2026-09-12,,scheduled,nan
Wisła Płock,8,Cracovia,True,2026-09-12,,scheduled,nan
Zagłębie Lubin,8,GKS Katowice,True,2026-09-12,,scheduled,nan
Śląsk Wrocław,8,Korona Kielce,True,2026-09-12,,scheduled,nan
