player_id,fpl_id,web_name,player_name,pos,price,team_name,appearances,minutes_played,goals,xg,assists,xa,xGI,xGI_per_90,key_passes,shots_total,shots_on_target
190911,2577.0,Corluka,Josip Ćorluka,DEF,1.8,Zaglebie Lubin,25,1800,1,0.75,1,1.54,2.29,0.11,15,11,3
797284,,Samper,Sergi Samper,MID,,Motor Lublin,30,1798,0,0.37,2,1.21,1.58,0.08,11,8,2
942335,1126.0,Piatkowski,Kamil Piątkowski,DEF,2.0,Legia,26,2256,0,0.87,3,1.38,2.25,0.09,12,15,6
851890,2189.0,Dieguez,Adrián Diéguez,DEF,1.8,Radomiak,28,2511,1,1.56,2,1.7,3.26,0.12,11,10,3
922945,2689.0,Selahi,Lindon Selahi,MID,1.8,Widzew Lodz,24,1294,1,0.51,0,0.35,0.86,0.06,5,11,3
894463,,Rocha,Leonardo Rocha,MID,,Rakow,29,1337,9,6.62,1,0.82,7.44,0.5,14,58,26
139210,,Abramowicz,Dawid Abramowicz,MID,,Arka Gdynia,14,906,1,0.71,1,0.55,1.26,0.13,7,9,3
309648,1521.0,Kapustka,Bartosz Kapustka,MID,1.9,Legia,28,1876,2,3.23,2,2.81,6.04,0.29,31,46,13
972451,2747.0,Vallejo,Hugo Vallejo,MID,1.8,Piast Gliwice,27,1527,4,3.34,2,3.44,6.78,0.4,30,33,13
1046322,2690.0,Visus,Ricardo Visus,DEF,1.7,Widzew Lodz,19,1709,0,0.68,0,0.63,1.31,0.07,9,18,4
1134514,2775.0,Ronaldo,Fábio Ronaldo,MID,2.0,Motor Lublin,27,1544,4,4.6,3,2.87,7.47,0.44,23,29,10
1638174,,Ndiaye,Mbaye Ndiaye,MID,,Motor Lublin,24,1638,8,5.44,2,3.39,8.83,0.49,25,38,18
1513054,,Diaz,Jesus Diaz,MID,,Zaglebie Lubin,14,584,1,1.27,2,0.8,2.07,0.32,7,17,4
122833,,Olkowski,Paweł Olkowski,MID,,Gornik Zabrze,25,1510,0,1.3,1,1.25,2.55,0.15,22,17,2
1423459,2123.0,Gurgul,Michal Gurgul,DEF,2.3,Lech Poznan,31,2448,1,0.9,4,3.0,3.9,0.14,29,10,3
335887,392.0,Jagiello,Filip Jagiełło,MID,1.8,Lech Poznan,27,1657,1,2.72,4,3.61,6.33,0.34,25,39,10
1141665,2719.0,Sanca,Leandro Sanca,MID,1.8,Piast Gliwice,34,1725,3,3.05,4,2.1,5.15,0.27,23,67,19
787734,,Zapolnik,Kamil Zapolnik,MID,,Bruk-Bet Termalica Nieciecza,26,1775,6,7.1,0,1.37,8.47,0.43,18,38,19
1214235,1909.0,Adamski,Rafał Adamski,FWD,2.0,Legia,13,886,4,3.27,2,1.02,4.29,0.44,11,17,10
67600,,Chrapek,Michał Chrapek,MID,,Piast Gliwice,26,1105,3,1.05,2,2.62,3.67,0.3,34,21,7
335907,382.0,Hladun,Dominik Hładun,GKP,1.7,Zaglebie Lubin,11,977,0,0.0,0,0.02,0.02,0.0,0,0,0
907510,1756.0,Matuszewski,Konrad Matuszewski,DEF,1.9,Korona Kielce,27,1968,2,2.13,1,2.3,4.43,0.2,28,23,6
1142001,,Weirauch,Szymon Weirauch,MID,,KS Lechia Gdansk,9,810,0,0.0,0,0.01,0.01,0.0,0,0,0
1005407,2435.0,Ouattara,Zié Ouattara,DEF,1.8,Radomiak,32,2272,2,0.82,4,4.08,4.9,0.19,34,14,7
834983,,Wolski,Maciej Wolski,MID,,Bruk-Bet Termalica Nieciecza,19,1570,0,0.31,1,1.08,1.39,0.08,13,8,2
1014588,2498.0,Walemark,Patrik Wålemark,MID,2.3,Lech Poznan,17,911,2,5.51,1,2.59,8.1,0.8,21,42,13
231614,,Nsame,Jean-Pierre Nsame,MID,,Legia,10,563,5,3.92,0,0.35,4.27,0.68,4,22,7
1150377,,Sotiriou,Constantinos Sotiriou,MID,,Korona Kielce,29,2468,5,4.71,2,1.94,6.65,0.24,16,26,9
891675,,Labojko,Jakub Łabojko,MID,,Motor Lublin,29,1280,1,0.46,0,1.4,1.86,0.13,6,16,1
1020545,1540.0,Wojtuszek,Norbert Wojtuszek,DEF,1.9,Jagiellonia,33,2436,1,0.53,2,2.73,3.26,0.12,19,13,2
114062,1475.0,Ishak,Mikael Ishak,FWD,4.0,Lech Poznan,31,2436,16,16.6,5,4.01,20.61,0.76,34,109,43
842944,,Bichakhchyan,Vahan Bichakhchyan,MID,,Legia,21,1192,2,3.9,1,2.15,6.05,0.46,25,55,17
1142171,,Ambros,Lukáš Ambros,MID,,Gornik Zabrze,26,1870,1,3.39,5,2.68,6.07,0.29,47,46,8
288321,,Dawidowicz,Paweł Dawidowicz,MID,,Rakow,10,455,0,1.06,0,0.27,1.33,0.26,5,7,2
1175494,,Adriano,Adriano,MID,,Rakow,27,1469,1,1.73,3,3.26,4.99,0.31,28,18,3
1146194,,Jakubczyk,Kamil Jakubczyk,MID,,Arka Gdynia,31,2527,2,1.63,1,2.38,4.01,0.14,17,27,5
914749,2772.0,Lozano,Sergio Lozano,MID,1.9,Jagiellonia,14,615,3,1.92,2,1.11,3.03,0.44,7,30,11
1048102,1853.0,Racovitan,Bogdan Racovițan,DEF,2.0,Rakow,30,2547,0,1.32,1,0.66,1.98,0.07,7,12,2
841409,1280.0,Michalski,Damian Michalski,DEF,1.8,Zaglebie Lubin,23,1834,1,1.51,0,0.69,2.2,0.11,8,16,3
381816,,Szymanski,Karol Szymański,MID,,Piast Gliwice,4,360,0,0.0,0,0.01,0.01,0.0,0,0,0
1139088,2820.0,Selan,Beno Selan,MID,1.6,Cracovia,6,137,0,0.12,0,0.04,0.16,0.11,1,1,0
792141,,Tomasiewicz,Grzegorz Tomasiewicz,MID,,Piast Gliwice,31,2224,1,0.99,2,2.8,3.79,0.15,16,29,6
846441,2431.0,Vinagre,Rúben Vinagre,DEF,1.8,Legia,15,914,0,0.39,1,1.47,1.86,0.18,16,12,1
1211028,2046.0,Drachal,Dawid Drachal,MID,1.7,Jagiellonia,21,821,1,0.94,2,1.52,2.46,0.27,10,8,4
