ekstraklasa_id,player_id,web_name,player_name,pos,price,team_name
1635,,Koperski,Filip Koperski,DEF,1.6,Radomiak
1653,796980.0,Radwanski,Adam Radwański,MID,1.8,Wisla Plock
1673,890785.0,Banaszak,Przemysław Banaszak,FWD,2.0,Slask Wroclaw
1675,926007.0,Majchrowicz,Filip Majchrowicz,GKP,1.8,Radomiak
1682,,Kozak,Miłosz Kozak,MID,1.7,Slask Wroclaw
1697,182023.0,Kakabadze,Otar Kakabadze,DEF,1.8,Cracovia
1698,1063187.0,Knap,Karol Knap,MID,1.7,Cracovia
1712,809489.0,Pereira,Joel Pereira,DEF,2.1,Lech Poznan
1719,971393.0,Ameyaw,Michael Ameyaw,MID,2.1,Rakow
1725,286071.0,Emreli,Mehir Emreli,FWD,2.3,Rakow
1737,,Czyz,Szymon Czyż,MID,1.7,Widzew Lodz
1739,,Bieganski,Mikołaj Biegański,GKP,1.5,Widzew Lodz
1747,,Drapinski,Igor Drapiński,DEF,1.8,Piast Gliwice
1754,,Krol,Michał Król,MID,1.8,Wisla Plock
1756,,Matuszewski,Konrad Matuszewski,DEF,1.9,Korona Kielce
1757,,Mrozek,Bartosz Mrozek,GKP,2.2,Lech Poznan
1770,1126979.0,Pienko,Tomasz Pieńko,MID,2.0,Rakow
1794,33689.0,Grosicki,Kamil Grosicki,MID,2.5,Pogon Szczecin
1795,1152849.0,Abramowicz,Sławomir Abramowicz,GKP,2.0,Jagiellonia
1812,,Lokilo,Jason Lokilo,MID,1.7,Piast Gliwice
1831,1104084.0,Mikulko,Antoni Mikułko,GKP,1.7,Wieczysta
1835,,Biczachczjan,Wahan Biczachczjan,MID,1.8,Legia
1853,1048102.0,Racovitan,Bogdan Racovițan,DEF,2.0,Rakow
1858,,Antczak,Jakub Antczak,MID,1.4,Lech Poznan
1880,,Szkurin,Ilja Szkurin,FWD,2.1,GKS Katowice
1889,1127202.0,Lukasiak,Kacper Łukasiak,MID,1.7,GKS Katowice
1893,99524.0,Pacheco,Dani Pacheco,MID,1.8,Wisla Plock
1900,,Koczerhin,Władysław Koczerhin,MID,2.0,Rakow
1906,,Kikolski,Maciej Kikolski,GKP,1.7,GKS Katowice
1909,,Adamski,Rafał Adamski,FWD,2.0,Legia
1922,990074.0,Pila,Dominik Piła,DEF,1.7,Cracovia
1925,1009284.0,Kobylak,Gabriel Kobylak,GKP,1.7,GKS Katowice
1926,1382908.0,Alves,Roberto Alves,MID,1.8,Radomiak
1928,793267.0,Svarnas,Stratos Svarnas,DEF,2.1,Rakow
1931,,Kapuadi,Steve Kapuadi,DEF,1.8,Widzew Lodz
1935,971523.0,Shehu,Juljan Shehu,MID,2.0,Widzew Lodz
1948,,Ravas,Henrich Ravas,GKP,1.7,Cracovia
1987,914771.0,Sanchez,Jordi Sánchez,FWD,1.8,Wisla Krakow
1990,158085.0,Hiszpanski,Fabian Hiszpański,MID,1.7,Wisla Plock
1994,,Strzebonski,Miłosz Strzeboński,MID,1.4,Korona Kielce
1998,1016016.0,Kobacki,Olaf Kobacki,MID,1.8,Wisla Plock
2000,803701.0,Semedo,Lisandro Semedo,MID,1.8,Wieczysta
2002,1066687.0,Borges,Léo Borges,DEF,1.7,Pogon Szczecin
2007,,Matys,Michał Matys,GKP,0.7,Zaglebie Lubin
2010,1106808.0,Hamulic,Saïd Hamulic,FWD,1.8,Wisla Plock
2016,,Lewicki,Jakub Lewicki,DEF,1.7,Piast Gliwice
2032,,Lesniak,Oskar Leśniak,MID,1.6,Piast Gliwice
2046,1211028.0,Drachal,Dawid Drachal,MID,1.7,Jagiellonia
2052,,Mamla,Rafał Mamla,GKP,1.6,Korona Kielce
2053,554518.0,Madejski,Sebastian Madejski,GKP,1.8,Cracovia
2057,,Kolasa,Józef Kolasa,MID,0.7,Radomiak
2058,,Kocaba,Filip Kocaba,MID,1.7,Zaglebie Lubin
2059,,Kolan,Jakub Kolan,MID,1.7,Zaglebie Lubin
2063,,Liszewski,Piotr Liszewski,DEF,1.2,Piast Gliwice
2066,,Plata,David González Plata,MID,1.7,Korona Kielce
2069,,Mucha,Szczepan Mucha,MID,1.0,Piast Gliwice
2073,279533.0,Wahlqvist,Linus Wahlqvist,DEF,1.8,Pogon Szczecin
2090,282979.0,Donis,Chrístos Dónis,MID,1.6,Radomiak
2096,,Smiglewski,Kacper Śmiglewski,FWD,1.5,Cracovia
2098,,Sukiennicki,Olivier Sukiennicki,MID,1.5,Wisla Krakow
2100,,Stojinovic,Dušan Stojinović,DEF,1.7,Jagiellonia
2104,,Sacek,Michal Sáček,DEF,1.8,Gornik Zabrze
2114,,Burek,Jakub Burek,GKP,1.0,Wisla Plock
2123,1423459.0,Gurgul,Michał Gurgul,DEF,2.3,Lech Poznan
2125,,Kuczko,Gleb Kuczko,MID,0.9,Wisla Plock
2126,,Bogacz,Wiktor Bogacz,FWD,1.6,Cracovia
2134,,Tomaszewski,Bartosz Tomaszewski,DEF,0.7,Lech Poznan
2160,,Jakuba,Roman Jakuba,DEF,1.7,Zaglebie Lubin
2163,971384.0,Pieczek,Marcel Pięczek,DEF,1.8,Korona Kielce
2176,,Kowalczyk,Mateusz Kowalczyk,MID,1.9,GKS Katowice
2189,851890.0,Dieguez,Adrián Diéguez,DEF,1.8,Radomiak
2198,,Krzywanski,Jan Krzywański,GKP,0.8,Widzew Lodz
2206,,Dalmau,Adrián Dalmau,FWD,1.7,Piast Gliwice
2208,827574.0,Remacle,Martin Remacle,MID,1.8,Korona Kielce
2225,965034.0,Alvarez,Fran Álvarez,MID,2.0,Widzew Lodz
2226,,Cybulski,Kamil Cybulski,MID,1.7,Widzew Lodz
2228,,Przybulek,Filip Przybułek,MID,0.7,Widzew Lodz
2234,,Gholizadeh,Ali Gholizadeh,MID,3.0,Lech Poznan
2236,,Holewinski,Axel Holewiński,GKP,1.2,Pogon Szczecin
2239,,Orlikowski,Igor Orlikowski,DEF,1.7,Zaglebie Lubin
2240,,Niedbala,Michał Niedbała,GKP,0.7,Korona Kielce
2250,,Rychta,Dawid Rychta,GKP,0.7,Piast Gliwice
2256,,Molendowski,Mikołaj Molendowski,MID,0.7,Radomiak
2261,,Szala,Dominik Szala,DEF,1.6,Slask Wroclaw
2263,,Kucharczyk,Kacper Kucharczyk,MID,0.7,Korona Kielce
2280,36922.0,Ulvestad,Fredrik Ulvestad,MID,2.1,Pogon Szczecin
2281,,Kerk,Sebastian Kerk,MID,2.1,Zaglebie Lubin
2283,,Glik,Kamil Glik,DEF,1.6,Cracovia
2286,182363.0,Cojocaru,Valentin Cojocaru,GKP,1.8,Pogon Szczecin
2293,,Turek,Radosław Turek,DEF,0.7,Korona Kielce
2295,1585761.0,Bak,Daniel Bąk,FWD,0.7,Korona Kielce
2299,,Barczak,Norbert Barczak,DEF,1.7,Korona Kielce
2300,,Koptas,Wiktor Koptas,GKP,1.2,Radomiak
2302,,Chojecki,Adam Chojecki,MID,1.0,Korona Kielce
2304,,Glogowski,Bartosz Głogowski,GKP,0.7,Slask Wroclaw
2306,1546560.0,Mras,Tobiasz Mras,MID,0.7,Wieczysta
2312,,Paryzek,Patryk Paryzek,FWD,1.7,Pogon Szczecin
2316,,Pruchniewski,Mateusz Pruchniewski,GKP,0.7,Lech Poznan
2325,890333.0,Otieno,Erick Otieno,DEF,1.8,Rakow
2343,,Lisman,Kornel Lisman,MID,1.8,Lech Poznan
2345,1536342.0,Urbanski,Wojciech Urbański,MID,1.7,Legia
