id,name,team,position,price,overall_status,description,expectedEndDate,return_gameweek,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,total_Pts
698,Alan Czerwiński,GKS Katowice,DEF,1.8,EXP,,,,2.1,4.1,3.7,2.3,3.8,2,2,2.3,22.3
2820,Beno Selan,Cracovia,MID,1.6,NES,,,,2.3,3,2.7,2.9,3,2.6,3.1,2.6,22.2
2053,Sebastian Madejski,Cracovia,GKP,1.8,EXP,,,,1.4,3.5,2.4,3.2,3.5,2.3,3.6,2.3,22.2
2849,Kyriákos Savvídis,Wisła Płock,MID,1.7,NES,,,,2.4,3,2.6,2.7,2.6,3.1,2.7,3.1,22.2
2286,Valentin Cojocaru,Pogoń Szczecin,GKP,1.8,EXP,,,,2.9,1.8,3.5,1.7,3.6,2.1,3.3,3.2,22.1
1795,Sławomir Abramowicz,Jagiellonia Białystok,GKP,2,EXP,,,,3.5,2.3,3.4,3.6,1.5,1.7,3.9,2.1,22
2839,Ivan Lima,Piast Gliwice,MID,1.8,NES,,,,2.6,3.1,2.3,3,2.9,2.6,2.9,2.6,22
2302,Adam Chojecki,Korona Kielce,MID,1,NES,,,,2.4,3,2.8,2.4,3,2.6,3.1,2.6,21.9
2263,Kacper Kucharczyk,Korona Kielce,MID,0.7,NES,,,,2.4,3,2.8,2.4,3,2.6,3.1,2.6,21.9
2722,Kacper Minuczyc,Korona Kielce,MID,0.7,NES,,,,2.4,3,2.8,2.4,3,2.6,3.1,2.6,21.9
1244,Wojciech Kamiński,Korona Kielce,MID,1.5,NES,,,,2.4,3,2.8,2.4,3,2.6,3.1,2.6,21.9
2656,Natan Dzięgielewski,Górnik Zabrze,MID,1.7,MAY,,,,3.2,2.4,2.6,3.3,2.3,3,2.4,2.7,21.9
2866,Darijo Grujcic,Wisła Kraków,DEF,1.7,EXP,,,,3.6,1.7,3.9,1.7,1.9,3.9,1.7,3.5,21.9
2875,Marc Carbó,Wisła Kraków,MID,1.7,MAY,,,,3,2.4,3.1,2.4,2.5,3.1,2.4,3,21.9
2239,Igor Orlikowski,Zagłębie Lubin,DEF,1.7,EXP,,,,3.4,1.4,1.4,4,2.1,3.7,2.4,3.5,21.9
2577,Josip Ćorluka,Zagłębie Lubin,DEF,1.8,EXP,,,,3.4,1.4,1.4,4,2.1,3.7,2.4,3.5,21.9
2510,Eryk Kozłowski,Jagiellonia Białystok,MID,0.7,NES,,,,3,2.6,2.9,3,2.3,2.4,3.1,2.5,21.8
2966,Jeremy Agbonifo,Jagiellonia Białystok,MID,2,NES,,,,3,2.6,2.9,3,2.3,2.4,3.1,2.5,21.8
2830,Zachary Zalewski,Jagiellonia Białystok,MID,0.7,NES,,,,3,2.6,2.9,3,2.3,2.4,3.1,2.5,21.8
2470,Igor Brzyski,Pogoń Szczecin,MID,1.3,NES,,,,2.7,2.4,3,2.4,3,2.5,2.9,2.9,21.8
2835,Jacek Czapliński,Pogoń Szczecin,MID,0.8,NES,,,,2.7,2.4,3,2.4,3,2.5,2.9,2.9,21.8
2837,Sebastian Rojek,Pogoń Szczecin,MID,0.7,NES,,,,2.7,2.4,3,2.4,3,2.5,2.9,2.9,21.8
2965,Alex Marciniak,Cracovia,MID,1.7,NES,,,,2.2,2.9,2.6,2.8,3,2.6,3,2.6,21.7
2595,Dawid Polak,Cracovia,MID,0.7,NES,,,,2.2,2.9,2.6,2.8,3,2.6,3,2.6,21.7
1094,Filip Marchwiński,Cracovia,MID,2.1,NES,,,,2.2,2.9,2.6,2.8,3,2.6,3,2.6,21.7
2778,Mateusz Skoczylas,Cracovia,MID,1.4,NES,,,,2.2,2.9,2.6,2.8,3,2.6,3,2.6,21.7
2818,Mateusz Tabisz,Cracovia,MID,1.3,NES,,,,2.2,2.9,2.6,2.8,3,2.6,3,2.6,21.7
2226,Kamil Cybulski,Widzew Łódź,MID,1.7,NES,,,,3.1,2.6,2.4,2.9,2.7,2.6,3.1,2.3,21.7
2720,Kuba Nawrocki,Widzew Łódź,MID,0.7,NES,,,,3.1,2.6,2.4,2.9,2.7,2.6,3.1,2.3,21.7
2554,Leon Madej,Widzew Łódź,MID,0.7,NES,,,,3.1,2.6,2.4,2.9,2.7,2.6,3.1,2.3,21.7
2555,Nikodem Stachowicz,Widzew Łódź,MID,0.7,NES,,,,3.1,2.6,2.4,2.9,2.7,2.6,3.1,2.3,21.7
2594,Justin Daniel,Piast Gliwice,MID,0.7,NES,,,,2.5,3.1,2.3,2.9,2.8,2.6,2.9,2.6,21.7
2587,Mateusz Kopczyński,Piast Gliwice,MID,0.7,NES,,,,2.5,3.1,2.3,2.9,2.8,2.6,2.9,2.6,21.7
2831,Oliwier Maziarz,Piast Gliwice,MID,0.7,NES,,,,2.5,3.1,2.3,2.9,2.8,2.6,2.9,2.6,21.7
2069,Szczepan Mucha,Piast Gliwice,MID,1,EXP,,,,2.5,3.1,2.3,2.9,2.8,2.6,2.9,2.6,21.7
701,Patryk Kun,Wisła Płock,DEF,1.7,NES,,,,1.7,3.5,2.2,2.6,2.2,3.6,2.3,3.6,21.7
2963,Maximilian Dietz,Górnik Zabrze,DEF,2,EXP,,,,4.1,1.8,2.1,4.2,1.4,3.6,1.7,2.7,21.6
2887,Jorge Yriarte,Śląsk Wrocław,MID,1.6,EXP,,,,2.5,2.9,2.9,2.6,2.9,2.4,2.4,2.9,21.5
2883,Irodotos Christodoulou,Śląsk Wrocław,DEF,1.8,NES,,,,2,3.3,3.5,2.3,3.4,1.6,1.8,3.5,21.4
2535,Steve Kingué,Radomiak Radom,DEF,1.7,EXP,,,,3.3,1.7,3.5,1.3,3.7,3.2,1.6,3,21.3
2415,Marek Bartoš,Motor Lublin,DEF,1.7,EXP,,,,1.8,3.5,2.1,3.6,1.9,3.5,3.4,1.5,21.3
2814,Isak Brusberg,Raków Częstochowa,FWD,1.8,NES,,,,2.8,2.6,2.9,2.4,2.8,2.7,2.2,2.9,21.3
1401,Kryspin Szcześniak,Radomiak Radom,DEF,1.7,NES,,,,3.3,1.7,3.4,1.3,3.7,3.2,1.6,3,21.2
1889,Kacper Łukasiak,GKS Katowice,MID,1.7,NES,,,,2.5,3.1,2.9,2.5,2.9,2.4,2.4,2.5,21.2
2655,Bastien Donio,Górnik Zabrze,MID,1.6,MAY,,,,3.1,2.4,2.5,3.1,2.3,2.9,2.3,2.6,21.2
2911,Gédéon Nongo,Górnik Zabrze,MID,1.8,NES,,,,3.1,2.4,2.5,3.1,2.3,2.9,2.3,2.6,21.2
2387,José Manuel Josema,Górnik Zabrze,DEF,1.8,EXP,,,,4,1.8,2.1,4.1,1.4,3.5,1.7,2.6,21.2
2913,Ksawery Semik,Górnik Zabrze,MID,0.9,NES,,,,3.1,2.4,2.5,3.1,2.3,2.9,2.3,2.6,21.2
2916,Marcel Kalemba,Górnik Zabrze,MID,1.4,NES,,,,3.1,2.4,2.5,3.1,2.3,2.9,2.3,2.6,21.2
1186,Michał Rakoczy,Górnik Zabrze,MID,1.8,NES,,,,3.1,2.4,2.5,3.1,2.3,2.9,2.3,2.6,21.2
2955,Igor Chmielewski,Korona Kielce,DEF,0.7,NES,,,,1.6,3.4,2.9,1.7,3.6,2.1,3.6,2.3,21.2
2560,Konrad Ciszek,Korona Kielce,DEF,0.9,NES,,,,1.6,3.4,2.9,1.7,3.6,2.1,3.6,2.3,21.2
2561,Michał Mikielewicz,Korona Kielce,GKP,0.7,NES,,,,1.6,3.4,2.9,1.7,3.6,2.1,3.6,2.3,21.2
2240,Michał Niedbała,Korona Kielce,GKP,0.7,NES,,,,1.6,3.4,2.9,1.7,3.6,2.1,3.6,2.3,21.2
2052,Rafał Mamla,Korona Kielce,GKP,1.6,NES,,,,1.6,3.4,2.9,1.7,3.6,2.1,3.6,2.3,21.2
2921,Mihai Popa,Motor Lublin,GKP,1.8,NES,,,,2.1,3.1,2.3,3.2,2.2,3.2,3.1,2,21.2
2953,Yacine Bourhane,Motor Lublin,MID,1.8,NES,,,,2.4,2.9,2.5,2.9,2.4,2.9,2.9,2.3,21.2
2936,David Čolina,Zagłębie Lubin,DEF,1.8,NES,,,,3.3,1.3,1.3,3.9,2.1,3.6,2.3,3.4,21.2
1012,Patryk Sokołowski,Śląsk Wrocław,MID,1.7,MAY,,,,2.5,2.8,2.9,2.6,2.8,2.3,2.4,2.9,21.2
2801,Bartłomiej Drągowski,Widzew Łódź,GKP,1.8,EXP,,,,3.8,2.2,1.7,3.3,2.4,2.4,3.8,1.5,21.1
2198,Jan Krzywański,Widzew Łódź,GKP,0.8,NES,,,,3.8,2.2,1.7,3.3,2.4,2.4,3.8,1.5,21.1
2770,Veljko Ilić,Widzew Łódź,GKP,1.7,MAY,,,,3.8,2.2,1.7,3.3,2.4,2.4,3.8,1.5,21.1
2773,Pape Meïssa Ba,Widzew Łódź,FWD,1.8,NES,,,,2.9,2.6,2.4,2.8,2.6,2.5,3,2.3,21.1
2741,Alex Peškovič,Pogoń Szczecin,GKP,0.7,NES,,,,2.8,1.6,3.4,1.5,3.5,1.9,3.2,3.1,21
2236,Axel Holewiński,Pogoń Szczecin,GKP,1.2,NES,,,,2.8,1.6,3.4,1.5,3.5,1.9,3.2,3.1,21
2927,Níkos Bótis,Pogoń Szczecin,GKP,1.7,NES,,,,2.8,1.6,3.4,1.5,3.5,1.9,3.2,3.1,21
2750,Rafał Jakubowski,Pogoń Szczecin,DEF,0.7,NES,,,,2.8,1.6,3.4,1.5,3.5,1.9,3.2,3.1,21
1948,Henrich Ravas,Cracovia,GKP,1.7,MAY,,,,1.2,3.3,2.3,3.1,3.4,2.1,3.5,2.1,21
2283,Kamil Glik,Cracovia,DEF,1.6,EXP,,,,1.2,3.3,2.3,3.1,3.4,2.1,3.5,2.1,21
2366,Konrad Golonka,Cracovia,GKP,0.7,NES,,,,1.2,3.3,2.3,3.1,3.4,2.1,3.5,2.1,21
790,František Plach,Piast Gliwice,GKP,1.7,MAY,,,,2.1,3.7,1.3,3.4,3,2.1,3.2,2.2,21
2597,Kamil Nowogoński,Zagłębie Lubin,MID,0.7,NES,,,,2.8,2.2,2.2,3,2.5,2.9,2.5,2.8,20.9
2787,Adrian Damasiewicz,Jagiellonia Białystok,GKP,0.7,NES,,,,3.4,2.1,3.3,3.5,1.3,1.5,3.8,1.9,20.8
2434,Michał Perchel,Jagiellonia Białystok,GKP,1.6,NES,,,,3.4,2.1,3.3,3.5,1.3,1.5,3.8,1.9,20.8
2250,Dawid Rychta,Piast Gliwice,GKP,0.7,NES,,,,2.1,3.7,1.3,3.3,3,2.1,3.1,2.2,20.8
2924,Domen Gril,Piast Gliwice,GKP,1.7,NES,,,,2.1,3.7,1.3,3.3,3,2.1,3.1,2.2,20.8
2822,Elton Fikaj,Piast Gliwice,DEF,1.7,NES,,,,2.1,3.7,1.3,3.3,3,2.1,3.1,2.2,20.8
2832,Jakub Grelich,Piast Gliwice,GKP,0.7,EXP,,,,2.1,3.7,1.3,3.3,3,2.1,3.1,2.2,20.8
2489,Levis Pitan,Piast Gliwice,DEF,1.7,NES,,,,2.1,3.7,1.3,3.3,3,2.1,3.1,2.2,20.8
2429,Marcel Mendes-Dudziński,Piast Gliwice,GKP,1.3,NES,,,,2.1,3.7,1.3,3.3,3,2.1,3.1,2.2,20.8
2063,Piotr Liszewski,Piast Gliwice,DEF,1.2,NES,,,,2.1,3.7,1.3,3.3,3,2.1,3.1,2.2,20.8
2538,Marc Llinares,Śląsk Wrocław,DEF,1.7,EXP,,,,1.9,3.2,3.4,2.2,3.3,1.6,1.8,3.4,20.8
2947,Karol Tokarczyk,Wisła Kraków,MID,0.7,NES,,,,2.8,2.3,2.9,2.3,2.4,2.9,2.3,2.8,20.7
2960,Maksym Cymbulak,Wisła Kraków,MID,1.2,NES,,,,2.8,2.3,2.9,2.3,2.4,2.9,2.3,2.8,20.7
1603,Piotr Starzyński,Wisła Kraków,MID,1.5,NES,,,,2.8,2.3,2.9,2.3,2.4,2.9,2.3,2.8,20.7
2876,Wiktor Staszak,Wisła Kraków,MID,1,NES,,,,2.8,2.3,2.9,2.3,2.4,2.9,2.3,2.8,20.7
2641,Przemyslaw Misiak,Wisła Płock,DEF,1.5,EXP,,,,1.6,3.3,2.1,2.5,2.1,3.4,2.2,3.5,20.7
2517,Adam Basse,Raków Częstochowa,FWD,0.7,NES,,,,2.7,2.5,2.7,2.3,2.7,2.6,2.2,2.7,20.4
1573,Antonio Milić,Wieczysta Kraków,DEF,1.9,NES,,,,2.7,2.4,2.3,2.2,2.1,2.3,4,2.4,20.4
402,Arkadiusz Woźniak,Zagłębie Lubin,MID,1.7,NES,,,,2.7,2.2,2.2,2.9,2.4,2.8,2.5,2.7,20.4
2736,Cyprian Popielec,Zagłębie Lubin,MID,0.7,NES,,,,2.7,2.2,2.2,2.9,2.4,2.8,2.5,2.7,20.4
2827,Jakub Ligocki,Zagłębie Lubin,MID,0.7,EXP,,,,2.7,2.2,2.2,2.9,2.4,2.8,2.5,2.7,20.4
2957,Patryk Dziekoński,Zagłębie Lubin,MID,0.7,NES,,,,2.7,2.2,2.2,2.9,2.4,2.8,2.5,2.7,20.4
2937,Paweł Kosmalski,Zagłębie Lubin,MID,1.2,NES,,,,2.7,2.2,2.2,2.9,2.4,2.8,2.5,2.7,20.4
2828,Seweryn Marek,Zagłębie Lubin,MID,0.7,NES,,,,2.7,2.2,2.2,2.9,2.4,2.8,2.5,2.7,20.4
2672,Florian Haxha,Motor Lublin,MID,1.8,NES,,,,2.3,2.7,2.4,2.7,2.3,2.7,2.7,2.2,20
2530,Franciszek Lewandowski,Motor Lublin,MID,0.7,NES,,,,2.3,2.7,2.4,2.7,2.3,2.7,2.7,2.2,20
2697,Kacper Szymanek,Motor Lublin,MID,1.2,NES,,,,2.3,2.7,2.4,2.7,2.3,2.7,2.7,2.2,20
2970,Konrad Kraska,Motor Lublin,MID,0.7,NES,,,,2.3,2.7,2.4,2.7,2.3,2.7,2.7,2.2,20
2923,Marcel Złomańczuk,Motor Lublin,MID,0.7,NES,,,,2.3,2.7,2.4,2.7,2.3,2.7,2.7,2.2,20
1990,Fabian Hiszpański,Wisła Płock,MID,1.7,NES,,,,2.3,2.6,2.4,2.4,2.4,2.7,2.4,2.7,19.9
2649,Jorge Jiménez,Wisła Płock,MID,1.8,MAY,,,,2.3,2.6,2.4,2.4,2.4,2.7,2.4,2.7,19.9
2949,Oskar Dari,Wisła Płock,MID,0.8,NES,,,,2.3,2.6,2.4,2.4,2.4,2.7,2.4,2.7,19.9
2659,Marcel Łubik,Wisła Kraków,GKP,1.8,NES,,,,3.2,1.6,3.4,1.6,1.8,3.4,1.7,3.1,19.8
1373,Ben Lederman,Wieczysta Kraków,MID,1.7,NES,,,,2.5,2.4,2.4,2.4,2.4,2.4,2.8,2.5,19.8
2905,Jacky Donkor,Wieczysta Kraków,MID,1.7,NES,,,,2.5,2.4,2.4,2.4,2.4,2.4,2.8,2.5,19.8
