id,name,team,position,price,overall_status,description,expectedEndDate,return_gameweek,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,total_Pts
2800,Christopher Cheng,Widzew Łódź,DEF,1.8,EXP,,,,,,,,,,,,
2526,Sondre Liseth,Górnik Zabrze,FWD,2,MAY,,,,,,,,,,,,
2745,Mateusz Klich,Cracovia,MID,1.8,EXP,,,,,,,,,,,,
1756,Konrad Matuszewski,Korona Kielce,DEF,1.9,EXP,,,,,,,,,,,,
2299,Norbert Barczak,Korona Kielce,DEF,1.7,NES,,,,,,,,,,,,
87,Damian Szymański,Legia Warszawa,MID,1.8,MAY,,,,,,,,,,,,
2873,Ervin Omic,Wisła Kraków,MID,1.6,MAY,,,,,,,,,,,,
1398,Jakub Sypek,Zagłębie Lubin,MID,1.8,MAY,,,,,,,,,,,,
2505,Dimítrios Keramítsis,Pogoń Szczecin,DEF,1.8,EXP,,,,,,,,,,,,
2002,Léo Borges,Pogoń Szczecin,DEF,1.7,MAY,,,,,,,,,,,,
2687,Ángel Baena,Widzew Łódź,MID,1.8,EXP,,,,,,,,,,,,
827,Mateusz Grzybek,Zagłębie Lubin,DEF,1.9,MAY,,,,,,,,,,,,
1935,Juljan Shehu,Widzew Łódź,MID,2,EXP,,,,,,,,,,,,
2447,João Moutinho,Lech Poznań,DEF,1.8,MAY,,,,,,,,,,,,
2473,Michalis Kosidis,Zagłębie Lubin,FWD,1.8,EXP,,,,,,,,,,,,
2096,Kacper Śmiglewski,Cracovia,FWD,1.5,NES,,,,,,,,,,,,
2891,Michał Rosiak,Śląsk Wrocław,MID,1.5,EXP,,,,,,,,,,,,
1327,Kacper Urbański,Górnik Zabrze,MID,1.8,EXP,,,,,,,,,,,,
2010,Saïd Hamulic,Wisła Płock,FWD,1.8,EXP,,,,,,,,,,,,
2848,Ondřej Zmrzlý,Górnik Zabrze,DEF,1.8,MAY,,,,,,,,,,,,
458,Arkadiusz Reca,Legia Warszawa,DEF,1.7,EXP,,,,,,,,,,,,
1529,Mariusz Fornalczyk,Widzew Łódź,MID,2,EXP,,,,,,,,,,,,
2732,Tonio Teklić,Widzew Łódź,MID,1.7,NES,,,,,,,,,,,,
1039,Wiktor Biedrzycki,Wisła Kraków,DEF,1.7,MAY,,,,,,,,,,,,
2295,Daniel Bąk,Korona Kielce,FWD,0.7,NES,,,,,,,,,,,,
2367,Wojciech Mońka,Lech Poznań,DEF,2.1,EXP,,,,,,,,,,,,
