ekstraklasa_id,player_id,web_name,player_name,pos,price,team_name,appearances,minutes_played,goals,xg,assists,xa,xGI,xGI_per_90,key_passes,shots_total,shots_on_target
1094,966929.0,Marchwinski,Filip Marchwiński,MID,2.1,Cracovia,1.0,24.0,0.0,0.0,0.0,0.01,0.01,0.04,0.0,0.0,0.0
1126,942335.0,Piatkowski,Kamil Piątkowski,DEF,2.0,Legia,1.0,90.0,0.0,0.04,0.0,0.11,0.15,0.15,3.0,1.0,0.0
1136,863022.0,Praszelik,Mateusz Praszelik,MID,1.7,Cracovia,1.0,1.0,0.0,0.0,0.0,0.03,0.03,2.7,0.0,0.0,0.0
1146,,Buksa,Aleksander Buksa,FWD,1.5,Gornik Zabrze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1168,979393.0,Makuch,Patryk Makuch,FWD,1.9,Rakow,1.0,90.0,1.0,1.02,0.0,0.01,1.03,1.03,0.0,4.0,2.0
1169,,Skrzypczak,Mateusz Skrzypczak,DEF,1.8,Lech Poznan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1186,,Rakoczy,Michał Rakoczy,MID,1.8,Gornik Zabrze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1192,124590.0,Janza,Erik Janža,DEF,2.2,Gornik Zabrze,1.0,90.0,0.0,0.06,0.0,0.3,0.36,0.36,6.0,1.0,1.0
1194,,Paluszek,Aleksander Paluszek,DEF,1.6,GKS Katowice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1214,,Szymczak,Filip Szymczak,FWD,1.8,Zaglebie Lubin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1225,792239.0,Grzesik,Jan Grzesik,DEF,2.0,Radomiak,1.0,90.0,1.0,0.75,1.0,0.28,1.03,1.03,1.0,3.0,2.0
1244,,Kaminski,Wojciech Kamiński,MID,1.5,Korona Kielce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1252,,Wedrychowski,Marcel Wędrychowski,MID,1.7,GKS Katowice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280,,Michalski,Damian Michalski,DEF,1.8,Zaglebie Lubin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1285,845787.0,Luquinhas,Lucas Luquinhas,MID,2.0,Radomiak,1.0,90.0,0.0,0.06,1.0,0.33,0.39,0.39,2.0,1.0,0.0
1290,,Struski,Karol Struski,MID,1.7,Rakow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1299,796432.0,Silva,Jean Carlos Silva,DEF,2.2,Rakow,1.0,90.0,0.0,0.05,0.0,0.24,0.29,0.29,2.0,2.0,1.0
1319,139152.0,Wszolek,Paweł Wszołek,DEF,2.0,Legia,1.0,90.0,0.0,0.2,1.0,0.33,0.53,0.53,4.0,2.0,1.0
1327,1012383.0,Urbanski,Kacper Urbański,MID,1.8,Gornik Zabrze,1.0,90.0,0.0,0.16,0.0,0.08,0.24,0.24,0.0,1.0,0.0
1332,562194.0,Jirka,Erik Jirka,DEF,1.9,GKS Katowice,1.0,29.0,0.0,0.0,0.0,0.05,0.05,0.16,1.0,0.0,0.0
1334,,Holz,Conrado Buchanelli Holz,DEF,1.7,Radomiak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1341,792659.0,Tudor,Fran Tudor,DEF,1.9,Rakow,1.0,90.0,0.0,0.05,0.0,0.08,0.13,0.13,2.0,1.0,0.0
1360,,Chodyna,Kacper Chodyna,MID,1.8,Legia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1369,,Pawlak,Aleksander Pawlak,MID,1.4,Wisla Plock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1373,1030308.0,Lederman,Ben Lederman,MID,1.7,Wieczysta,1.0,79.0,0.0,0.09,0.0,0.08,0.17,0.19,1.0,3.0,0.0
1386,1009281.0,Mosor,Ariel Mosór,DEF,1.8,Korona Kielce,1.0,90.0,0.0,0.07,0.0,0.08,0.15,0.15,1.0,2.0,0.0
1398,,Sypek,Jakub Sypek,MID,1.8,Zaglebie Lubin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,1033201.0,Dziekonski,Xavier Dziekoński,GKP,2.0,Korona Kielce,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1401,1022964.0,Szczesniak,Kryspin Szcześniak,DEF,1.7,Radomiak,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403,,Warchol,Damian Warchoł,MID,1.7,Slask Wroclaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1407,,Sewerys,Radosław Seweryś,DEF,0.7,Korona Kielce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1411,72255.0,Leszczynski,Rafał Leszczyński,GKP,1.8,Wisla Plock,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1415,,Jaroch,Bartosz Jaroch,DEF,1.6,Wisla Krakow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1435,,Straczek,Rafał Strączek,GKP,1.9,GKS Katowice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1440,,Lisowski,Wojciech Lisowski,DEF,1.6,Pogon Szczecin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1455,,Lawniczak,Aleks Ławniczak,DEF,1.7,Zaglebie Lubin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1464,984137.0,Szmyt,Kajetan Szmyt,MID,2.1,Jagiellonia,1.0,86.0,0.0,0.06,0.0,0.04,0.1,0.1,0.0,1.0,1.0
1471,,Lukoszek,Kamil Lukoszek,MID,1.7,Gornik Zabrze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1475,114062.0,Ishak,Mikael Ishak,FWD,4.0,Lech Poznan,1.0,90.0,0.0,0.17,0.0,0.1,0.27,0.27,1.0,3.0,1.0
1490,,Trelowski,Kacper Trelowski,GKP,1.9,Rakow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
