,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s?,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
1,Xavier Dziekonski,pl POL,GK,Korona Kielce,21,2003,34,34,"3,060",34,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Filip Majchrowicz,pl POL,GK,Radomiak,25,2000,34,34,"3,060",34,0,1,1,0,0,0,2,0,0,0.03,0.03,0,0.03
3,Marcin Kami?ski,pl POL,DF,Wis?a P?ock,33,1992,34,34,"3,003",33.4,3,0,3,3,0,0,1,0,0.09,0,0.09,0.09,0.09
4,Bartosz Nowak,pl POL,"FW,MF",Katowice,31,1993,34,34,"3,001",33.3,9,12,21,9,0,0,1,0,0.27,0.36,0.63,0.27,0.63
5,Marcus Haglind-Sangré,se SWE,DF,Wis?a P?ock,30,1995,33,33,"2,970",33,0,2,2,0,0,0,4,0,0,0.06,0.06,0,0.06
6,Arkadiusz J?drych,pl POL,DF,Katowice,33,1992,33,33,"2,970",33,6,0,6,5,1,1,5,0,0.18,0,0.18,0.15,0.15
7,Rafa? Leszczy?ski,pl POL,GK,Wis?a P?ock,33,1992,33,33,"2,970",33,0,0,0,0,0,0,4,0,0,0,0,0,0
8,Bartosz Mrozek,pl POL,GK,Lech Pozna?,25,2000,33,33,"2,970",33,0,0,0,0,0,0,2,0,0,0,0,0,0
9,Micha? Marcjanik,pl POL,DF,Arka Gdynia,30,1994,33,33,"2,943",32.7,2,0,2,2,0,0,4,0,0.06,0,0.06,0.06,0.06
10,Marcin Wasielewski,pl POL,MF,Katowice,30,1994,33,33,"2,933",32.6,2,4,6,2,0,0,7,0,0.06,0.12,0.18,0.06,0.18
11,Marcel ?ubik,pl POL,GK,Górnik Zabrze,21,2004,33,33,"2,936",32.6,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jan Grzesik,pl POL,"DF,MF",Radomiak,30,1994,34,33,"2,921",32.5,7,5,12,7,0,0,2,0,0.22,0.15,0.37,0.22,0.37
13,Patryk Dziczek,pl POL,MF,Piast Gliwice,27,1998,32,32,"2,880",32,4,3,7,2,2,4,8,0,0.12,0.09,0.22,0.06,0.16
14,Tamar Svetlin,si SVN,MF,Korona Kielce,24,2001,33,33,"2,882",32,1,1,2,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06
15,Patrik Hellebrand,cz CZE,MF,Górnik Zabrze,26,1999,33,33,"2,859",31.8,4,1,5,4,0,0,7,0,0.13,0.03,0.16,0.13,0.16
16,Bartosz Wolski,pl POL,MF,Motor Lublin,28,1997,34,34,"2,855",31.7,6,6,12,6,0,1,2,0,0.19,0.19,0.38,0.19,0.38
17,Jesús Imaz,es ESP,"MF,FW",Jagiellonia,34,1990,33,32,"2,784",30.9,13,6,19,13,0,0,5,0,0.42,0.19,0.61,0.42,0.61
18,Rafa? Janicki,pl POL,DF,Górnik Zabrze,33,1992,31,31,"2,783",30.9,4,0,4,2,2,2,5,0,0.13,0,0.13,0.06,0.06
19,Valentin Cojocaru,ro ROU,GK,Pogo? Szczecin,29,1995,31,31,"2,774",30.8,0,0,0,0,0,0,4,0,0,0,0,0,0
20,Rifet Kapi?,ba BIH,MF,Lechia Gda?sk,30,1995,32,32,"2,767",30.7,5,3,8,4,1,2,8,0,0.16,0.1,0.26,0.13,0.23
21,Matúš Vojtko,sk SVK,DF,Lechia Gda?sk,24,2000,31,31,"2,765",30.7,1,3,4,1,0,0,6,0,0.03,0.1,0.13,0.03,0.13
22,Maciej Ambrosiewicz,pl POL,MF,Nieciecza,27,1998,33,32,"2,755",30.6,1,2,3,0,1,1,8,1,0.03,0.07,0.1,0,0.07
23,Oskar Wójcik,pl POL,DF,Cracovia,22,2003,31,31,"2,749",30.5,0,0,0,0,0,0,10,1,0,0,0,0,0
24,Fredrik Ulvestad,no NOR,MF,Pogo? Szczecin,33,1992,32,30,"2,717",30.2,5,3,8,2,3,3,3,0,0.17,0.1,0.26,0.07,0.17
25,S?awomir Abramowicz,pl POL,GK,Jagiellonia,21,2004,30,30,"2,700",30,0,0,0,0,0,0,1,0,0,0,0,0,0
26,Erik Janža,si SVN,DF,Górnik Zabrze,32,1993,32,31,"2,702",30,4,2,6,4,0,0,3,0,0.13,0.07,0.2,0.13,0.2
27,Sebastian Madejski,pl POL,GK,Cracovia,28,1997,30,30,"2,700",30,0,0,0,0,0,0,2,0,0,0,0,0,0
28,Camilo Mena,co COL,MF,Lechia Gda?sk,22,2002,31,31,"2,698",30,5,8,13,4,1,1,6,0,0.17,0.27,0.43,0.13,0.4
29,Ivan Zhelizko,ua UKR,MF,Lechia Gda?sk,24,2001,30,30,"2,696",30,7,5,12,7,0,0,10,1,0.23,0.17,0.4,0.23,0.4
30,Micha? Nalepa,pl POL,DF,Zag??bie Lubin,32,1993,31,30,"2,660",29.6,2,1,3,2,0,0,8,1,0.07,0.03,0.1,0.07,0.1
31,Juljan Shehu,al ALB,MF,Widzew ?ód?,26,1998,32,31,"2,660",29.6,4,3,7,4,0,0,11,1,0.14,0.1,0.24,0.14,0.24
32,Josema,es ESP,DF,Górnik Zabrze,29,1996,31,31,"2,653",29.5,0,0,0,0,0,0,3,0,0,0,0,0,0
33,Filip Luberecki,pl POL,DF,Motor Lublin,20,2005,31,29,"2,615",29.1,0,1,1,0,0,0,5,0,0,0.03,0.03,0,0.03
34,Wiktor Nowak,pl POL,"MF,FW",Wis?a P?ock,20,2004,32,29,"2,598",28.9,4,1,5,4,0,0,7,0,0.14,0.03,0.17,0.14,0.17
35,Sebastian Kerk,de GER,"MF,FW",Arka Gdynia,31,1994,33,31,"2,568",28.5,4,7,11,4,0,0,3,0,0.14,0.25,0.39,0.14,0.39
36,Bogdan Racovitan,ro ROU,DF,Raków,25,2000,30,30,"2,546",28.3,0,1,1,0,0,0,1,0,0,0.04,0.04,0,0.04
37,Karol Czubak,pl POL,FW,Motor Lublin,25,2000,32,31,"2,542",28.2,18,3,21,15,3,3,3,1,0.64,0.11,0.74,0.53,0.64
38,Gustav Henriksson,se SWE,DF,Cracovia,27,1998,29,29,"2,534",28.2,1,1,2,1,0,0,8,0,0.04,0.04,0.07,0.04,0.07
39,Filip Kocaba,pl POL,"MF,DF",Zag??bie Lubin,20,2004,31,30,"2,533",28.1,2,1,3,2,0,0,5,0,0.07,0.04,0.11,0.07,0.11
40,Antoni Kozubal,pl POL,MF,Lech Pozna?,20,2004,32,30,"2,532",28.1,1,1,2,1,0,0,6,0,0.04,0.04,0.07,0.04,0.07
41,Kamil Jakubczyk,pl POL,MF,Arka Gdynia,20,2004,31,28,"2,516",28,2,1,3,2,0,0,9,0,0.07,0.04,0.11,0.07,0.11
42,Adrián Diéguez,es ESP,DF,Radomiak,29,1996,28,28,"2,509",27.9,1,2,3,1,0,0,10,0,0.04,0.07,0.11,0.04,0.11
43,Amir Al Ammari,iq IRQ,MF,Cracovia,28,1997,33,29,"2,501",27.8,1,4,5,1,0,0,3,1,0.04,0.14,0.18,0.04,0.18
44,Taras Romanchuk,pl POL,MF,Jagiellonia,33,1991,32,26,"2,474",27.5,3,0,3,3,0,0,8,0,0.11,0,0.11,0.11,0.11
45,Dominik Kun,pl POL,MF,Wis?a P?ock,32,1993,33,27,"2,463",27.4,0,4,4,0,0,0,1,0,0,0.15,0.15,0,0.15
46,Costas Soteriou,cy CYP,DF,Korona Kielce,29,1996,29,28,"2,463",27.4,5,2,7,5,0,0,2,1,0.18,0.07,0.26,0.18,0.26
47,Tomáš Bob?ek,sk SVK,FW,Lechia Gda?sk,23,2001,30,28,"2,456",27.3,20,6,26,16,4,5,5,0,0.73,0.22,0.95,0.59,0.81
48,Gabriel Isik,de GER,DF,Nieciecza,26,1999,29,26,"2,456",27.3,1,1,2,1,0,0,4,0,0.04,0.04,0.07,0.04,0.07
49,Jonatan Braut Brunes,no NOR,FW,Raków,24,2000,32,28,"2,451",27.2,16,0,16,12,4,4,2,0,0.59,0,0.59,0.44,0.44
50,Micha? Gurgul,pl POL,DF,Lech Pozna?,19,2006,31,27,"2,448",27.2,1,4,5,1,0,0,1,0,0.04,0.15,0.18,0.04,0.18
51,Ivo Rodrigues,pt POR,MF,Motor Lublin,30,1995,31,29,"2,442",27.1,2,4,6,2,0,0,8,0,0.07,0.15,0.22,0.07,0.22
52,Damian W?glarz,pl POL,GK,Arka Gdynia,29,1996,27,27,"2,430",27,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Igor Drapinski,pl POL,DF,Piast Gliwice,21,2004,27,27,"2,421",26.9,2,3,5,2,0,0,7,0,0.07,0.11,0.19,0.07,0.19
54,Mikael Ishak,se SWE,FW,Lech Pozna?,32,1993,31,29,"2,419",26.9,16,5,21,11,5,6,4,0,0.6,0.19,0.78,0.41,0.6
55,Martin Remacle,be BEL,MF,Korona Kielce,28,1997,33,31,"2,421",26.9,3,1,4,2,1,1,5,0,0.11,0.04,0.15,0.07,0.11
56,Alejandro Pozo Pozo,es ESP,"MF,DF",Jagiellonia,26,1999,33,28,"2,414",26.8,2,4,6,2,0,0,4,0,0.07,0.15,0.22,0.07,0.22
57,Norbert Wojtuszek,pl POL,DF,Jagiellonia,23,2001,33,28,"2,411",26.8,1,2,3,1,0,0,3,0,0.04,0.07,0.11,0.04,0.11
58,Fran Álvarez,es ESP,"MF,FW",Widzew ?ód?,27,1998,31,28,"2,381",26.5,7,3,10,7,0,0,3,0,0.26,0.11,0.38,0.26,0.38
59,Juande,es ESP,DF,Piast Gliwice,26,1999,29,26,"2,389",26.5,4,1,5,4,0,0,5,0,0.15,0.04,0.19,0.15,0.19
60,Marcel Pi?czek,pl POL,"DF,MF",Korona Kielce,24,2000,32,26,"2,387",26.5,4,2,6,4,0,0,0,0,0.15,0.08,0.23,0.15,0.23
61,Ivan Brki?,hr CRO,GK,Motor Lublin,30,1995,27,27,"2,362",26.2,0,0,0,0,0,0,3,0,0,0,0,0,0
62,Stratos Svarnas,gr GRE,DF,Raków,27,1997,30,26,"2,361",26.2,1,1,2,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08
63,Damian Hilbrycht,pl POL,MF,Nieciecza,27,1998,33,28,"2,345",26.1,5,5,10,5,0,0,6,0,0.19,0.19,0.38,0.19,0.38
64,Steve Kingue,cm CMR,DF,Radomiak,24,2001,27,26,"2,347",26.1,1,0,1,1,0,0,5,0,0.04,0,0.04,0.04,0.04
65,Joel Pereira,pt POR,DF,Lech Pozna?,28,1996,31,26,"2,347",26.1,2,5,7,2,0,0,2,0,0.08,0.19,0.27,0.08,0.27
66,Afimico Pululu,cd COD,FW,Jagiellonia,26,1999,33,26,"2,352",26.1,15,5,20,9,6,6,7,0,0.57,0.19,0.77,0.34,0.54
67,Sondre Liseth,no NOR,FW,Górnik Zabrze,27,1997,30,28,"2,341",26,8,1,9,8,0,0,2,0,0.31,0.04,0.35,0.31,0.35
68,Alan Czerwi?ski,pl POL,DF,Katowice,32,1993,29,28,"2,298",25.5,0,5,5,0,0,0,6,0,0,0.2,0.2,0,0.2
69,Matej Rodin,hr CRO,DF,Lechia Gda?sk,29,1996,26,26,"2,295",25.5,1,3,4,1,0,0,3,0,0.04,0.12,0.16,0.04,0.16
70,Mileta Rajovic,dk DEN,FW,Legia Warsaw,26,1999,32,24,"2,282",25.4,6,0,6,5,1,2,1,0,0.24,0,0.24,0.2,0.2
71,Bart?omiej Wdowik,pl POL,DF,Jagiellonia,24,2000,30,26,"2,287",25.4,0,4,4,0,0,0,3,0,0,0.16,0.16,0,0.16
72,Sebastian Bergier,pl POL,FW,Widzew ?ód?,25,1999,30,28,"2,278",25.3,14,4,18,10,4,4,5,1,0.55,0.16,0.71,0.4,0.55
73,Arkadiusz Kasparkiewicz,pl POL,DF,Nieciecza,30,1994,29,26,"2,278",25.3,2,1,3,2,0,0,7,1,0.08,0.04,0.12,0.08,0.12
74,Borja Galán,es ESP,MF,Katowice,32,1993,30,25,"2,269",25.2,3,3,6,3,0,0,5,0,0.12,0.12,0.24,0.12,0.24
75,Zié Mohamed Ouattara,ci CIV,DF,Radomiak,25,2000,32,24,"2,267",25.2,2,4,6,2,0,0,7,0,0.08,0.16,0.24,0.08,0.24
76,Oskar Repka,pl POL,MF,Raków,26,1999,32,24,"2,267",25.2,3,3,6,3,0,0,6,0,0.12,0.12,0.24,0.12,0.24
77,Kamil Pi?tkowski,pl POL,DF,Legia Warsaw,25,2000,26,26,"2,254",25,0,3,3,0,0,0,3,1,0,0.12,0.12,0,0.12
78,Žan Rogelj,si SVN,"MF,DF",Wis?a P?ock,25,1999,26,26,"2,247",25,3,1,4,3,0,0,4,0,0.12,0.04,0.16,0.12,0.16
79,Lukas Klemenz,pl POL,DF,Katowice,29,1995,28,25,"2,240",24.9,6,0,6,6,0,0,4,0,0.24,0,0.24,0.24,0.24
80,Bernardo Vital,pt POR,DF,Jagiellonia,24,2000,27,25,"2,210",24.6,3,1,4,3,0,0,7,0,0.12,0.04,0.16,0.12,0.16
81,Maurides,br BRA,FW,Radomiak,31,1994,34,25,"2,205",24.5,8,3,11,8,0,0,1,0,0.33,0.12,0.45,0.33,0.45
82,Grzegorz Tomasiewicz,pl POL,"MF,DF",Piast Gliwice,29,1996,31,29,"2,208",24.5,1,2,3,1,0,0,4,0,0.04,0.08,0.12,0.04,0.12
83,Jaros?aw Kubicki,pl POL,MF,Górnik Zabrze,29,1995,29,24,"2,192",24.4,3,4,7,3,0,0,1,0,0.12,0.16,0.29,0.12,0.29
84,Bosko Sutalo,hr CRO,DF,Cracovia,25,2000,27,24,"2,193",24.4,0,0,0,0,0,0,5,0,0,0,0,0,0
85,Mateusz Kowalczyk,pl POL,MF,Katowice,21,2004,28,27,"2,188",24.3,1,2,3,1,0,0,2,0,0.04,0.08,0.12,0.04,0.12
86,Daniel Pacheco,es ESP,MF,Wis?a P?ock,34,1991,31,26,"2,186",24.3,2,3,5,2,0,0,4,0,0.08,0.12,0.21,0.08,0.21
87,Mauro Perkovic,hr CRO,"MF,DF",Cracovia,22,2003,27,25,"2,188",24.3,4,1,5,4,0,0,2,1,0.16,0.04,0.21,0.16,0.21
88,Kamil Grosicki,pl POL,"FW,MF",Pogo? Szczecin,37,1988,31,25,"2,175",24.2,6,5,11,5,1,2,3,0,0.25,0.21,0.46,0.21,0.41
89,Rafa? Wolski,pl POL,MF,Radomiak,32,1992,30,27,"2,177",24.2,5,7,12,5,0,0,7,0,0.21,0.29,0.5,0.21,0.5
90,Ema Twumasi,gh GHA,DF,Piast Gliwice,28,1997,27,25,"2,166",24.1,1,0,1,1,0,0,9,1,0.04,0,0.04,0.04,0.04
91,Alex Paulsen,nz NZL,GK,Lechia Gda?sk,23,2002,24,24,"2,160",24,0,0,0,0,0,0,2,0,0,0,0,0,0
92,František Plach,sk SVK,GK,Piast Gliwice,33,1992,24,24,"2,160",24,0,0,0,0,0,0,1,0,0,0,0,0,0
93,Hervé Matthys,be BEL,DF,Motor Lublin,29,1996,26,24,"2,154",23.9,0,0,0,0,0,0,2,0,0,0,0,0,0
94,Marcel Regu?a,pl POL,"MF,FW",Zag??bie Lubin,18,2006,31,28,"2,139",23.8,5,3,8,5,0,1,7,1,0.21,0.13,0.34,0.21,0.34
95,Jakub Lewicki,pl POL,DF,Piast Gliwice,19,2005,26,24,"2,125",23.6,0,0,0,0,0,0,8,0,0,0,0,0,0
96,Mariusz Fornalczyk,pl POL,"MF,FW",Widzew ?ód?,22,2003,31,24,"2,105",23.4,1,3,4,1,0,0,8,0,0.04,0.13,0.17,0.04,0.17
97,Maksym Diachuk,ua UKR,DF,Lechia Gda?sk,22,2003,26,23,"2,097",23.3,1,1,2,1,0,0,4,0,0.04,0.04,0.09,0.04,0.09
98,Jasmin Buri?,ba BIH,GK,Zag??bie Lubin,38,1987,24,23,"2,084",23.2,0,0,0,0,0,0,3,0,0,0,0,0,0
99,Marek Bartoš,sk SVK,DF,Motor Lublin,28,1996,25,23,"2,070",23,1,1,2,1,0,0,5,0,0.04,0.04,0.09,0.04,0.09
100,Leo Bengtsson,se SWE,MF,Lech Pozna?,27,1998,33,26,"2,064",22.9,6,3,9,6,0,0,3,0,0.26,0.13,0.39,0.26,0.39
101,Wiktor D?ugosz,pl POL,"MF,FW",Korona Kielce,25,2000,26,24,"2,060",22.9,3,3,6,3,0,0,5,0,0.13,0.13,0.26,0.13,0.26
102,Paul Mukairu,ng NGA,"MF,FW",Pogo? Szczecin,25,2000,34,21,"2,060",22.9,8,0,8,8,0,0,1,0,0.35,0,0.35,0.35,0.35
103,Pau Resta,es ESP,DF,Korona Kielce,24,2000,24,23,"2,058",22.9,2,1,3,2,0,0,3,0,0.09,0.04,0.13,0.09,0.13
104,Dimitrios Keramitsis,gr GRE,DF,Pogo? Szczecin,21,2004,27,22,"2,039",22.7,1,1,2,1,0,0,5,0,0.04,0.04,0.09,0.04,0.09
105,Mateusz Klich,pl POL,MF,Cracovia,35,1990,27,23,"2,041",22.7,1,2,3,1,0,0,7,0,0.04,0.09,0.13,0.04,0.13
106,Ajdin Hasi?,ba BIH,"MF,FW",Cracovia,23,2001,27,24,"2,034",22.6,7,5,12,4,3,3,3,0,0.31,0.22,0.53,0.18,0.4
107,Linus Wahlqvist,se SWE,DF,Pogo? Szczecin,28,1996,24,24,"2,026",22.5,0,1,1,0,0,0,5,0,0,0.04,0.04,0,0.04
108,Antonio Mili?,hr CRO,DF,Lech Pozna?,31,1994,24,24,"1,989",22.1,2,1,3,2,0,0,5,0,0.09,0.05,0.14,0.09,0.14
109,Adrián Chovan,sk SVK,GK,Nieciecza,29,1995,22,22,"1,980",22,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Marc Navarro,es ESP,"MF,DF",Arka Gdynia,30,1995,28,22,"1,978",22,2,4,6,2,0,0,4,0,0.09,0.18,0.27,0.09,0.27
111,Rafa? Str?czek,pl POL,GK,Katowice,26,1999,22,22,"1,980",22,0,0,0,0,0,0,2,0,0,0,0,0,0
112,Konrad Matuszewski,pl POL,MF,Korona Kielce,23,2001,27,23,"1,964",21.8,2,1,3,2,0,0,2,0,0.09,0.05,0.14,0.09,0.14
113,?ukasz Sekulski,pl POL,FW,Wis?a P?ock,34,1990,27,24,"1,966",21.8,8,1,9,5,3,4,5,0,0.37,0.05,0.41,0.23,0.27
114,Dawid Kocy?a,pl POL,"MF,FW",Arka Gdynia,23,2002,31,24,"1,956",21.7,3,0,3,3,0,0,2,0,0.14,0,0.14,0.14,0.14
115,Dominik Pi?a,pl POL,"MF,DF",Cracovia,24,2001,27,22,"1,950",21.7,0,1,1,0,0,0,6,0,0,0.05,0.05,0,0.05
116,Pawe? Wszo?ek,pl POL,"DF,MF",Legia Warsaw,33,1992,25,22,"1,943",21.6,2,1,3,1,1,1,4,0,0.09,0.05,0.14,0.05,0.09
117,Hierman Barko?ski,by BLR,FW,Piast Gliwice,23,2002,31,22,"1,937",21.5,4,1,5,3,1,2,1,0,0.19,0.05,0.23,0.14,0.19
118,Maksym Khlan,ua UKR,"MF,FW",Górnik Zabrze,22,2003,26,21,"1,929",21.4,6,4,10,6,0,0,2,0,0.28,0.19,0.47,0.28,0.47
119,Michael Ameyaw,pl POL,MF,Raków,24,2000,28,22,"1,918",21.3,3,5,8,3,0,0,0,0,0.14,0.23,0.38,0.14,0.38
120,Juergen Elitim,co COL,MF,Legia Warsaw,26,1999,25,21,"1,910",21.2,2,3,5,2,0,0,3,0,0.09,0.14,0.24,0.09,0.24
121,Pawe? Stolarski,pl POL,DF,Motor Lublin,29,1996,29,25,"1,901",21.1,0,0,0,0,0,0,4,0,0,0,0,0,0
122,Kacper Tobiasz,pl POL,GK,Legia Warsaw,22,2002,22,21,"1,896",21.1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Damian D?browski,pl POL,MF,Zag??bie Lubin,32,1992,25,22,"1,894",21,0,3,3,0,0,0,2,0,0,0.14,0.14,0,0.14
124,Fran Tudor,hr CRO,"DF,MF",Raków,29,1995,22,22,"1,886",21,0,0,0,0,0,0,5,1,0,0,0,0,0
125,Dawid B?anik,pl POL,"FW,MF",Korona Kielce,28,1997,27,24,"1,878",20.9,9,4,13,7,2,3,3,0,0.43,0.19,0.62,0.34,0.53
126,Jorge Félix,es ESP,"FW,MF",Piast Gliwice,33,1991,33,21,"1,884",20.9,4,3,7,3,1,1,0,0,0.19,0.14,0.33,0.14,0.29
127,Lukáš Ambros,cz CZE,MF,Górnik Zabrze,21,2004,26,23,"1,860",20.7,1,5,6,1,0,0,5,0,0.05,0.24,0.29,0.05,0.29
128,Marko Bulat,hr CRO,MF,Raków,23,2001,31,21,"1,860",20.7,4,3,7,4,0,0,3,0,0.19,0.15,0.34,0.19,0.34
129,Bartosz Kapustka,pl POL,MF,Legia Warsaw,28,1996,28,21,"1,866",20.7,2,2,4,1,1,1,6,0,0.1,0.1,0.19,0.05,0.14
130,Danijel Loncar,hr CRO,DF,Pogo? Szczecin,28,1997,28,21,"1,864",20.7,1,1,2,1,0,0,6,0,0.05,0.05,0.1,0.05,0.1
131,Krzysztof Kubica,pl POL,"MF,FW",Nieciecza,25,2000,25,22,"1,852",20.6,5,1,6,5,0,0,8,1,0.24,0.05,0.29,0.24,0.29
132,Mateusz ?yro,pl POL,DF,Widzew ?ód?,26,1998,25,21,"1,858",20.6,0,0,0,0,0,0,4,0,0,0,0,0,0
133,Quentin Lecoeuche,fr FRA,"MF,DF",Wis?a P?ock,31,1994,28,20,"1,841",20.5,0,0,0,0,0,0,2,0,0,0,0,0,0
134,Tomasz Neugebauer,pl POL,"MF,FW",Lechia Gda?sk,22,2003,32,20,"1,832",20.4,3,2,5,3,0,0,6,0,0.15,0.1,0.25,0.15,0.25
135,Damian Michalski,pl POL,DF,Zag??bie Lubin,27,1998,23,20,"1,829",20.3,1,0,1,1,0,0,3,0,0.05,0,0.05,0.05,0.05
136,Radovan Pankov,rs SRB,DF,Legia Warsaw,29,1995,22,19,"1,816",20.2,1,0,1,1,0,0,4,0,0.05,0,0.05,0.05,0.05
137,Leonardo Koutris,gr GRE,"DF,MF",Pogo? Szczecin,30,1995,33,20,"1,810",20.1,0,2,2,0,0,0,5,0,0,0.1,0.1,0,0.1
138,Josip ?orluka,ba BIH,"DF,MF",Zag??bie Lubin,30,1995,25,21,"1,796",20,1,1,2,1,0,0,1,0,0.05,0.05,0.1,0.05,0.1
139,Sergi Samper,es ESP,MF,Motor Lublin,30,1995,30,20,"1,791",19.9,0,2,2,0,0,0,5,0,0,0.1,0.1,0,0.1
140,Kacper Sezonienko,pl POL,"MF,FW",Lechia Gda?sk,22,2003,31,24,"1,789",19.9,5,3,8,5,0,0,4,0,0.25,0.15,0.4,0.25,0.4
141,Sebastian Milewski,pl POL,MF,Katowice,27,1998,24,20,"1,778",19.8,1,2,3,1,0,0,4,0,0.05,0.1,0.15,0.05,0.15
142,Kamil Zapolnik,pl POL,FW,Nieciecza,32,1992,26,20,"1,769",19.7,6,0,6,5,1,1,6,0,0.31,0,0.31,0.25,0.25
143,Marcel Krajewski,pl POL,"DF,MF",Widzew ?ód?,20,2004,26,18,"1,716",19.1,0,3,3,0,0,0,7,0,0,0.16,0.16,0,0.16
144,Leandro Sanca,gw GNB,"MF,FW",Piast Gliwice,25,2000,34,19,"1,716",19.1,3,5,8,3,0,0,0,0,0.16,0.26,0.42,0.16,0.42
145,Morgan Faßbender,de GER,"FW,MF",Nieciecza,26,1998,29,22,"1,710",19,3,1,4,3,0,0,0,0,0.16,0.05,0.21,0.16,0.21
146,Kike Hermoso,es ESP,DF,Arka Gdynia,25,1999,21,18,"1,713",19,1,2,3,1,0,0,4,0,0.05,0.11,0.16,0.05,0.16
147,Bartosz Kopacz,pl POL,DF,Nieciecza,33,1992,19,19,"1,710",19,0,0,0,0,0,0,4,0,0,0,0,0,0
148,Wojciech Mo?ka,pl POL,DF,Lech Pozna?,18,2007,19,19,"1,710",19,0,0,0,0,0,0,1,0,0,0,0,0,0
149,Ricardo Visus,es ESP,DF,Widzew ?ód?,24,2001,19,19,"1,709",19,0,0,0,0,0,0,6,0,0,0,0,0,0
150,Mateusz Skrzypczak,pl POL,DF,Lech Pozna?,24,2000,21,17,"1,704",18.9,1,0,1,1,0,0,2,0,0.05,0,0.05,0.05,0.05
151,Damian Szyma?ski,pl POL,MF,Legia Warsaw,30,1995,25,19,"1,690",18.8,1,0,1,1,0,0,7,0,0.05,0,0.05,0.05,0.05
152,Rafa? Augustyniak,pl POL,"DF,MF",Legia Warsaw,31,1993,24,19,"1,686",18.7,2,0,2,1,1,1,7,1,0.11,0,0.11,0.05,0.05
153,Aleksandar ?irkovi?,rs SRB,MF,Lechia Gda?sk,23,2001,24,19,"1,685",18.7,4,5,9,4,0,0,3,0,0.21,0.27,0.48,0.21,0.48
154,Jesús Jiménez,es ESP,"FW,MF",Nieciecza,31,1993,31,19,"1,686",18.7,5,2,7,3,2,2,1,0,0.27,0.11,0.37,0.16,0.27
155,Roman Yakuba,ua UKR,DF,Zag??bie Lubin,24,2001,22,19,"1,684",18.7,0,0,0,0,0,0,2,0,0,0,0,0,0
156,Dawid Gojny,pl POL,DF,Arka Gdynia,30,1994,22,18,"1,672",18.6,1,1,2,1,0,0,5,0,0.05,0.05,0.11,0.05,0.11
157,Luis Enrique Palma,hn HON,"MF,FW",Lech Pozna?,25,2000,31,18,"1,653",18.4,10,6,16,10,0,0,3,1,0.54,0.33,0.87,0.54,0.87
158,Filip Jagie??o,pl POL,"MF,FW",Lech Pozna?,27,1997,27,17,"1,658",18.4,1,4,5,1,0,0,2,0,0.05,0.22,0.27,0.05,0.27
159,Aurélien Nguiamba,fr FRA,MF,Arka Gdynia,26,1999,28,19,"1,659",18.4,0,0,0,0,0,0,6,1,0,0,0,0,0
