,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s?,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
205,Igor Strza?ek,pl POL,"FW,MF",Nieciecza,21,2004,28,15,"1,290",14.3,1,1,2,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14
206,Adam Zre?ák,sk SVK,FW,Katowice,31,1994,22,17,"1,290",14.3,3,1,4,3,0,0,3,0,0.21,0.07,0.28,0.21,0.28
207,Lucas Masoero,ar ARG,DF,Nieciecza,30,1995,19,13,"1,275",14.2,0,1,1,0,0,0,1,0,0,0.07,0.07,0,0.07
208,Lindon Selahi,al ALB,MF,Widzew ?ód?,26,1999,24,14,"1,275",14.2,1,0,1,1,0,0,2,0,0.07,0,0.07,0.07,0.07
209,Sam Greenwood,eng ENG,"MF,FW",Pogo? Szczecin,23,2002,20,16,"1,266",14.1,3,2,5,3,0,1,4,0,0.21,0.14,0.36,0.21,0.36
210,Michalis Kosidis,gr GRE,FW,Zag??bie Lubin,23,2002,34,12,"1,273",14.1,6,1,7,3,3,3,3,0,0.42,0.07,0.49,0.21,0.28
211,Dominick Zator,ca CAN,"DF,MF",Arka Gdynia,30,1994,19,14,"1,268",14.1,0,0,0,0,0,0,2,1,0,0,0,0,0
212,Jakub ?abojko,pl POL,MF,Motor Lublin,27,1997,29,14,"1,272",14.1,1,0,1,1,0,0,7,1,0.07,0,0.07,0.07,0.07
213,Ilya Shkurin,by BLR,FW,Katowice,25,1999,27,13,"1,264",14,5,2,7,5,0,0,2,0,0.36,0.14,0.5,0.36,0.5
214,Attila Szalai,hu HUN,DF,Pogo? Szczecin,27,1998,14,14,"1,260",14,0,0,0,0,0,0,2,0,0,0,0,0,0
215,Quentin Boisgard,fr FRA,"MF,FW",Piast Gliwice,28,1997,22,17,"1,252",13.9,2,0,2,2,0,0,6,1,0.14,0,0.14,0.14,0.14
216,Ibrahima Camará,gn GUI,MF,Radomiak,26,1999,23,13,"1,248",13.9,0,1,1,0,0,0,6,0,0,0.07,0.07,0,0.07
217,Jakub Kolan,pl POL,MF,Zag??bie Lubin,20,2004,19,14,"1,242",13.8,1,1,2,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14
218,Emil Kornvig,dk DEN,"FW,MF",Widzew ?ód?,25,2000,15,14,"1,244",13.8,2,1,3,2,0,0,4,0,0.14,0.07,0.22,0.14,0.22
219,Patryk Kun,pl POL,"MF,DF",Legia Warsaw,30,1995,16,15,"1,241",13.8,0,1,1,0,0,0,2,0,0,0.07,0.07,0,0.07
220,Mariusz St?pi?ski,pl POL,FW,Korona Kielce,30,1995,15,15,"1,223",13.6,4,0,4,3,1,1,2,0,0.29,0,0.29,0.22,0.22
221,Arkadiusz Najemski,pl POL,DF,Motor Lublin,29,1996,17,13,"1,208",13.4,0,0,0,0,0,0,4,0,0,0,0,0,0
222,Abdoul-Fessal Tapsoba,bf BFA,"FW,MF",Radomiak,23,2001,31,12,"1,208",13.4,6,0,6,6,0,0,5,1,0.45,0,0.45,0.45,0.45
223,Leonardo Borges,br BRA,DF,Pogo? Szczecin,24,2001,20,12,"1,195",13.3,0,1,1,0,0,0,2,0,0,0.08,0.08,0,0.08
224,Bujar Pllana,al ALB,DF,Lechia Gda?sk,23,2001,17,13,"1,199",13.3,1,0,1,1,0,0,4,0,0.08,0,0.08,0.08,0.08
225,Marian Huja,pt POR,DF,Pogo? Szczecin,25,1999,15,13,"1,191",13.2,2,1,3,2,0,0,4,0,0.15,0.08,0.23,0.15,0.23
226,Nazariy Rusyn,ua UKR,"FW,MF",Arka Gdynia,26,1998,23,13,"1,181",13.1,4,0,4,4,0,0,4,0,0.3,0,0.3,0.3,0.3
227,Wahan Biczachczian,am ARM,"FW,MF",Legia Warsaw,26,1999,21,16,"1,174",13,2,1,3,2,0,0,1,0,0.15,0.08,0.23,0.15,0.23
228,Otto Hindrich,ro ROU,GK,Legia Warsaw,22,2002,13,13,"1,164",12.9,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Bradly van Hoeven,nl NED,"MF,FW",Motor Lublin,25,2000,28,12,"1,165",12.9,0,4,4,0,0,0,1,0,0,0.31,0.31,0,0.31
230,Roberto Alves,ch SUI,MF,Radomiak,28,1997,23,11,"1,154",12.8,4,3,7,2,2,2,4,0,0.31,0.23,0.55,0.16,0.39
231,Jérémy Blasco,fr FRA,DF,Radomiak,26,1999,15,13,"1,149",12.8,1,0,1,1,0,0,1,1,0.08,0,0.08,0.08,0.08
232,Deni Juri?,au AUS,FW,Wis?a P?ock,27,1997,19,15,"1,154",12.8,5,0,5,5,0,0,1,0,0.39,0,0.39,0.39,0.39
233,Ermal Krasniqi,xk KVX,"MF,FW",Legia Warsaw,26,1998,25,13,"1,151",12.8,2,2,4,2,0,0,3,0,0.16,0.16,0.31,0.16,0.31
234,Karol Struski,pl POL,MF,Raków,24,2001,21,15,"1,149",12.8,0,1,1,0,0,0,3,1,0,0.08,0.08,0,0.08
235,Ousmane Sow,sn SEN,"MF,FW",Górnik Zabrze,25,2000,16,13,"1,143",12.7,7,2,9,7,0,1,2,0,0.55,0.16,0.71,0.55,0.71
236,Ali Gholizadeh,ir IRN,MF,Lech Pozna?,29,1996,19,13,"1,131",12.6,6,4,10,6,0,0,3,0,0.48,0.32,0.8,0.48,0.8
237,Eman Markovi?,no NOR,"FW,MF",Katowice,25,1999,25,13,"1,124",12.5,8,1,9,8,0,0,2,0,0.64,0.08,0.72,0.64,0.72
238,Timothy Ouma,ke KEN,MF,Lech Pozna?,21,2004,21,12,"1,104",12.3,0,1,1,0,0,0,5,1,0,0.08,0.08,0,0.08
239,Micha? Chrapek,pl POL,"MF,FW",Piast Gliwice,33,1992,26,10,"1,089",12.1,3,2,5,3,0,0,2,1,0.25,0.17,0.41,0.25,0.41
240,Artem Putivtsev,ua UKR,DF,Nieciecza,36,1988,18,12,"1,088",12.1,1,0,1,1,0,0,6,0,0.08,0,0.08,0.08,0.08
241,Dawid Kud?a,pl POL,GK,Katowice,33,1992,12,12,"1,080",12,0,0,0,0,0,0,2,0,0,0,0,0,0
242,Mi?osz Mleczko,pl POL,GK,Nieciecza,26,1999,12,12,"1,080",12,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Lukáš Sadílek,cz CZE,MF,Górnik Zabrze,29,1996,15,13,"1,077",12,4,2,6,4,0,0,3,0,0.33,0.17,0.5,0.33,0.5
244,Alassane Sidibe,ci CIV,MF,Arka Gdynia,23,2002,21,13,"1,080",12,0,0,0,0,0,0,4,0,0,0,0,0,0
245,Rafa? Kurzawa,pl POL,"FW,MF",Nieciecza,32,1993,24,8,"1,074",11.9,4,0,4,4,0,0,5,0,0.34,0,0.34,0.34,0.34
246,Oskar Pietuszewski,pl POL,"MF,FW",Jagiellonia,17,2008,17,11,"1,073",11.9,3,1,4,3,0,0,2,0,0.25,0.08,0.34,0.25,0.34
247,Elves Baldé,gw GNB,MF,Radomiak,25,1999,27,12,"1,066",11.8,5,3,8,5,0,0,2,0,0.42,0.25,0.68,0.42,0.68
248,Robert Gumny,pl POL,DF,Lech Pozna?,27,1998,21,11,"1,059",11.8,0,0,0,0,0,0,5,0,0,0,0,0,0
249,Otar Kakabadze,ge GEO,"MF,FW",Cracovia,30,1995,13,13,"1,065",11.8,2,2,4,2,0,0,4,0,0.17,0.17,0.34,0.17,0.34
250,Kajetan Szmyt,pl POL,MF,Zag??bie Lubin,23,2002,18,11,"1,061",11.8,1,3,4,1,0,0,0,0,0.08,0.25,0.34,0.08,0.34
251,Musa Juwara,gm GAM,MF,Pogo? Szczecin,23,2001,18,11,"1,054",11.7,1,1,2,1,0,0,5,0,0.09,0.09,0.17,0.09,0.17
252,Filip Wójcik,pl POL,DF,Motor Lublin,28,1997,24,8,"1,054",11.7,0,1,1,0,0,0,2,0,0,0.09,0.09,0,0.09
253,Yuki Kobayashi,jp JPN,DF,Jagiellonia,25,2000,15,12,"1,041",11.6,1,0,1,1,0,0,5,0,0.09,0,0.09,0.09,0.09
254,Slobodan Rubeži?,me MNE,DF,Korona Kielce,25,2000,12,11,"1,035",11.5,0,1,1,0,0,0,2,0,0,0.09,0.09,0,0.09
255,Kacper Urbanski,pl POL,"MF,FW",Legia Warsaw,20,2004,21,11,"1,037",11.5,0,1,1,0,0,0,2,0,0,0.09,0.09,0,0.09
256,Vladislavs Gutkovskis,lv LVA,FW,Arka Gdynia,30,1995,16,13,"1,022",11.4,4,1,5,4,0,0,2,0,0.35,0.09,0.44,0.35,0.44
257,Dušan Stojinovi?,si SVN,DF,Jagiellonia,24,2000,13,11,"1,029",11.4,0,1,1,0,0,0,3,0,0,0.09,0.09,0,0.09
258,Jason Lokilo,be BEL,MF,Piast Gliwice,26,1998,21,12,"1,012",11.2,0,3,3,0,0,0,4,0,0,0.27,0.27,0,0.27
259,Nono,es ESP,"FW,MF",Korona Kielce,34,1991,26,12,"1,006",11.2,0,2,2,0,0,0,2,1,0,0.18,0.18,0,0.18
260,Kajetan Szmyt,pl POL,MF,Jagiellonia,23,2002,14,11,"1,008",11.2,2,0,2,2,0,0,1,0,0.18,0,0.18,0.18,0.18
261,Szymon Czy?,pl POL,MF,Widzew ?ód?,24,2001,18,10,"1,001",11.1,0,0,0,0,0,0,1,0,0,0,0,0,0
262,Mateusz Praszelik,pl POL,"MF,FW",Cracovia,24,2000,24,11,"1,000",11.1,2,0,2,2,0,0,4,0,0.18,0,0.18,0.18,0.18
263,Péter Baráth,hu HUN,MF,Raków,23,2002,15,10,993,11,1,0,1,1,0,0,3,0,0.09,0,0.09,0.09,0.09
264,Kevin Custovic,se SWE,"DF,MF",Wis?a P?ock,25,2000,25,9,984,10.9,0,1,1,0,0,0,0,0,0,0.09,0.09,0,0.09
265,José Pozo,es ESP,MF,Pogo? Szczecin,29,1996,19,12,981,10.9,2,1,3,2,0,0,4,0,0.18,0.09,0.28,0.18,0.28
266,Dominik H?adun,pl POL,GK,Zag??bie Lubin,29,1995,11,11,976,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Bart?omiej K?udka,pl POL,DF,Lechia Gda?sk,23,2002,18,9,974,10.8,0,0,0,0,0,0,1,0,0,0,0,0,0
268,Oskar Lesniak,pl POL,"MF,FW",Piast Gliwice,20,2004,28,10,970,10.8,0,3,3,0,0,0,2,0,0,0.28,0.28,0,0.28
269,João Pedro,br BRA,"DF,MF",Radomiak,22,2003,16,10,966,10.7,0,1,1,0,0,0,4,0,0,0.09,0.09,0,0.09
270,Bohdan Viunnyk,ua UKR,"MF,FW",Lechia Gda?sk,23,2002,25,11,966,10.7,3,0,3,3,0,0,2,0,0.28,0,0.28,0.28,0.28
271,Hubert Zwozny,pl POL,MF,Korona Kielce,21,2003,19,11,967,10.7,0,0,0,0,0,0,2,0,0,0,0,0,0
272,Adrian Przyborek,pl POL,MF,Pogo? Szczecin,18,2007,17,11,952,10.6,2,2,4,2,0,0,0,0,0.19,0.19,0.38,0.19,0.38
273,Oskar Kubiak,pl POL,MF,Arka Gdynia,18,2006,14,12,949,10.5,3,1,4,3,0,0,1,0,0.28,0.09,0.38,0.28,0.38
274,Kacper Chodyna,pl POL,"MF,FW",Legia Warsaw,26,1999,16,9,923,10.3,2,1,3,2,0,0,3,0,0.2,0.1,0.29,0.2,0.29
275,Steve Kapuadi,cd COD,DF,Widzew ?ód?,27,1998,11,10,917,10.2,1,0,1,1,0,0,0,0,0.1,0,0.1,0.1,0.1
276,Arkadiusz Reca,pl POL,"DF,MF",Legia Warsaw,30,1995,20,9,906,10.1,0,1,1,0,0,0,2,0,0,0.1,0.1,0,0.1
277,Guilherme Serrão,pt POR,DF,Jagiellonia,21,2003,14,10,911,10.1,0,1,1,0,0,0,1,0,0,0.1,0.1,0,0.1
278,Brahim Traoré,fr FRA,DF,Cracovia,21,2004,14,10,907,10.1,0,0,0,0,0,0,4,0,0,0,0,0,0
279,Rúben Vinagre,pt POR,"DF,MF",Legia Warsaw,26,1999,15,10,909,10.1,0,1,1,0,0,0,0,0,0,0.1,0.1,0,0.1
280,Patrik Wålemark,se SWE,"FW,MF",Lech Pozna?,23,2001,17,11,907,10.1,2,1,3,2,0,0,1,0,0.2,0.1,0.3,0.2,0.3
281,Dawid Abramowicz,pl POL,"DF,MF",Arka Gdynia,34,1991,14,11,896,10,1,1,2,1,0,0,2,0,0.1,0.1,0.2,0.1,0.2
282,Rafa? Adamski,pl POL,"FW,MF",Legia Warsaw,23,2001,13,10,887,9.9,4,2,6,4,0,0,0,0,0.41,0.2,0.61,0.41,0.61
283,Micha? Kaput,pl POL,"MF,DF",Radomiak,27,1998,21,10,889,9.9,0,1,1,0,0,0,4,1,0,0.1,0.1,0,0.1
284,Jakub Sypek,pl POL,MF,Zag??bie Lubin,24,2001,30,7,894,9.9,3,3,6,3,0,0,5,0,0.3,0.3,0.6,0.3,0.6
285,Jan Biega?ski,pl POL,MF,Pogo? Szczecin,22,2002,18,10,880,9.8,0,0,0,0,0,0,3,0,0,0,0,0,0
286,Kryspin Szczesniak,pl POL,DF,Górnik Zabrze,24,2001,16,11,882,9.8,0,1,1,0,0,0,2,0,0,0.1,0.1,0,0.1
287,Ivi,es ESP,"MF,FW",Raków,31,1994,19,9,861,9.6,4,1,5,2,2,2,2,0,0.42,0.1,0.52,0.21,0.31
288,Mor Ndiaye,sn SEN,MF,Pogo? Szczecin,24,2000,17,9,868,9.6,1,0,1,1,0,0,3,0,0.1,0,0.1,0.1,0.1
289,Serafin Szota,pl POL,DF,Arka Gdynia,26,1999,10,10,864,9.6,0,0,0,0,0,0,1,0,0,0,0,0,0
290,Patryk Szysz,pl POL,"MF,FW",Arka Gdynia,27,1998,23,8,862,9.6,0,1,1,0,0,0,0,0,0,0.1,0.1,0,0.1
291,Märten Kuusk,ee EST,DF,Katowice,29,1996,15,9,853,9.5,0,0,0,0,0,0,2,0,0,0,0,0,0
292,Ariel Mosór,pl POL,DF,Raków,22,2003,11,10,854,9.5,0,0,0,0,0,0,3,0,0,0,0,0,0
293,Pau Sans,es ESP,MF,Cracovia,20,2004,14,11,852,9.5,1,0,1,1,0,0,3,0,0.11,0,0.11,0.11,0.11
294,Levente Szabo,hu HUN,FW,Zag??bie Lubin,26,1999,16,8,852,9.5,3,1,4,3,0,0,2,0,0.32,0.11,0.42,0.32,0.42
295,Mateusz Grzybek,pl POL,"DF,MF",Zag??bie Lubin,29,1996,14,10,850,9.4,3,0,3,3,0,0,3,0,0.32,0,0.32,0.32,0.32
296,Erik Jirka,sk SVK,MF,Katowice,27,1997,14,10,835,9.3,1,1,2,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22
297,Leon Flach,us USA,MF,Jagiellonia,24,2001,20,10,827,9.2,1,0,1,1,0,0,3,0,0.11,0,0.11,0.11,0.11
298,Tolis Konstantopoulos,gr GRE,DF,Raków,22,2002,12,10,832,9.2,0,0,0,0,0,0,4,0,0,0,0,0,0
299,Dawid Drachal,pl POL,MF,Jagiellonia,20,2005,21,8,821,9.1,1,2,3,1,0,0,3,0,0.11,0.22,0.33,0.11,0.33
300,Dawid Kurminowski,pl POL,"FW,MF",Lechia Gda?sk,26,1999,23,7,823,9.1,3,1,4,3,0,0,2,0,0.33,0.11,0.44,0.33,0.44
301,Mads Agger,dk DEN,MF,Pogo? Szczecin,25,1999,12,9,812,9,1,0,1,1,0,0,0,0,0.11,0,0.11,0.11,0.11
302,Maciej Kikolski,pl POL,GK,Widzew ?ód?,21,2004,9,9,810,9,0,0,0,0,0,0,1,0,0,0,0,0,0
303,Szymon Weirauch,pl POL,GK,Lechia Gda?sk,21,2004,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0
304,Giannis Niarchos,gr GRE,FW,Wis?a P?ock,23,2002,20,6,800,8.9,1,1,2,1,0,0,2,0,0.11,0.11,0.23,0.11,0.23
305,Mateusz Wdowiak,pl POL,"FW,MF",Katowice,28,1996,16,10,802,8.9,2,0,2,2,0,0,1,0,0.22,0,0.22,0.22,0.22
306,Zoran Arseni?,hr CRO,DF,Raków,31,1994,10,10,788,8.8,0,0,0,0,0,0,4,1,0,0,0,0,0
307,Leonardo Rocha,pt POR,FW,Zag??bie Lubin,28,1997,11,11,794,8.8,7,1,8,6,1,1,1,0,0.79,0.11,0.91,0.68,0.79
308,Kellyn Acosta,us USA,"MF,DF",Pogo? Szczecin,30,1995,11,10,785,8.7,1,1,2,1,0,0,2,1,0.11,0.11,0.23,0.11,0.23
309,Lukas Lerager,dk DEN,MF,Widzew ?ód?,32,1993,10,9,782,8.7,1,0,1,1,0,0,2,0,0.12,0,0.12,0.12,0.12
310,Andrzej Trubeha,pl POL,FW,Nieciecza,27,1997,21,7,783,8.7,2,0,2,2,0,0,2,0,0.23,0,0.23,0.23,0.23
311,Samuel Akere,ng NGA,"MF,FW",Widzew ?ód?,21,2004,15,11,778,8.6,1,1,2,1,0,0,3,0,0.12,0.12,0.23,0.12,0.23
312,Filip Borowski,pl POL,DF,Piast Gliwice,21,2003,14,8,778,8.6,1,0,1,1,0,0,2,0,0.12,0,0.12,0.12,0.12
313,Tornike Gaprindashvili,ge GEO,"MF,FW",Arka Gdynia,28,1997,17,7,770,8.6,0,1,1,0,0,0,4,0,0,0.12,0.12,0,0.12
314,Taofeek Ismaheel,ng NGA,MF,Lech Pozna?,25,2000,21,9,774,8.6,1,1,2,1,0,0,2,0,0.12,0.12,0.23,0.12,0.23
315,Wojciech Urbanski,pl POL,"MF,FW",Legia Warsaw,20,2005,21,8,773,8.6,1,0,1,1,0,0,4,0,0.12,0,0.12,0.12,0.12
316,Andi Zeqiri,ch SUI,FW,Widzew ?ód?,26,1999,24,6,762,8.5,1,2,3,1,0,0,5,0,0.12,0.24,0.35,0.12,0.35
317,Marcel W?drychowski,pl POL,FW,Katowice,23,2002,28,5,754,8.4,2,1,3,2,0,0,1,0,0.24,0.12,0.36,0.24,0.36
318,Rajmund Molnár,hu HUN,FW,Pogo? Szczecin,22,2002,10,9,738,8.2,3,0,3,3,0,0,0,0,0.37,0,0.37,0.37,0.37
319,Michal Sá?ek,cz CZE,DF,Górnik Zabrze,28,1996,12,8,739,8.2,0,0,0,0,0,0,1,0,0,0,0,0,0
320,Veljko Ilic,rs SRB,GK,Widzew ?ód?,22,2003,8,8,720,8,0,0,0,0,0,0,1,0,0,0,0,0,0
321,Iván Salvador,gq EQG,FW,Wis?a P?ock,29,1995,17,7,708,7.9,2,0,2,2,0,0,9,0,0.25,0,0.25,0.25,0.25
322,Yvan Ikia Dimi,fr FRA,"FW,MF",Górnik Zabrze,20,2004,13,9,702,7.8,1,1,2,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26
323,Gašper Tratnik,si SVN,GK,Motor Lublin,25,2000,8,7,698,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0
324,Julien Celestine,fr FRA,DF,Arka Gdynia,28,1997,8,8,675,7.5,0,0,0,0,0,0,5,0,0,0,0,0,0
325,Kamil Jó?wiak,pl POL,MF,Jagiellonia,27,1998,13,8,673,7.5,0,0,0,0,0,0,4,0,0,0,0,0,0
326,Dion Gallapeni,xk KVX,"MF,DF",Wis?a P?ock,20,2004,10,9,664,7.4,0,3,3,0,0,0,1,0,0,0.41,0.41,0,0.41
327,Vladimir Nikolov,bg BUL,FW,Korona Kielce,24,2001,25,4,667,7.4,0,1,1,0,0,0,6,0,0,0.13,0.13,0,0.13
328,Petar Stojanovi?,si SVN,"MF,DF",Legia Warsaw,29,1995,14,8,666,7.4,1,1,2,1,0,0,5,0,0.14,0.14,0.27,0.14,0.27
329,Kacper Lukasiak,pl POL,MF,Katowice,21,2003,12,7,658,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0
330,Jesse Bosch,nl NED,MF,Katowice,25,2000,11,8,651,7.2,0,0,0,0,0,0,3,0,0,0,0,0,0
331,Filip ?ui?,ba BIH,FW,Pogo? Szczecin,22,2003,10,6,651,7.2,4,0,4,4,0,0,1,0,0.55,0,0.55,0.55,0.55
